zona,geohash6,data,Hora,Minuto,localizacao_dicofre,rua,cidade,nivel_de_intensidade,velocidade,velocidade_kmh,atraso,comprimento,latitude,longitude,geowkt,geo
Alameda das Linhas de Torres,eyckx9,2026-08-31,0,53,110618,R. Raúl Mesnier Du Ponsard,LISBOA,60% a 41% da velocidade de fluxo livre,0.963889,3.47,139,160,38.7659,-9.15667,"LineString(-9.156795 38.766642, -9.156807 38.766427, -9.156482 38.765224)","LINESTRING(-9.156795 38.766642, -9.156807 38.766427, -9.156482 38.765224)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,1,47,110618,R. Manuel Marques,LISBOA,60% a 41% da velocidade de fluxo livre,1.06667,3.84,134,168,38.7648,-9.15378,"LineString(-9.15395 38.765577, -9.153681 38.764248, -9.153635 38.764227, -9.153581 38.764221, -9.153534 38.76423, -9.153484 38.764262)","LINESTRING(-9.15395 38.765577, -9.153681 38.764248, -9.153635 38.764227, -9.153581 38.764221, -9.153534 38.76423, -9.153484 38.764262)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,4,51,110618,R. Manuel da Silva,LISBOA,40% a 21% da velocidade de fluxo livre,1.74444,6.28,91,226,38.7664,-9.15128,"LineString(-9.150702 38.767062, -9.150606 38.766707, -9.150973 38.766446, -9.15181 38.766334, -9.151883 38.766248, -9.151773 38.76574)","LINESTRING(-9.150702 38.767062, -9.150606 38.766707, -9.150973 38.766446, -9.15181 38.766334, -9.151883 38.766248, -9.151773 38.76574)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,4,51,110618,R. Manuel da Silva,LISBOA,40% a 21% da velocidade de fluxo livre,1.75833,6.33,90,226,38.7664,-9.15128,"LineString(-9.150702 38.767062, -9.150606 38.766707, -9.150973 38.766446, -9.15181 38.766334, -9.151883 38.766248, -9.151773 38.76574)","LINESTRING(-9.150702 38.767062, -9.150606 38.766707, -9.150973 38.766446, -9.15181 38.766334, -9.151883 38.766248, -9.151773 38.76574)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,6,17,110618,R. Agostinho Neto,LISBOA,40% a 21% da velocidade de fluxo livre,1.47222,5.3,96,178,38.7659,-9.15272,"LineString(-9.152624 38.765063, -9.152584 38.765157, -9.152579 38.765312, -9.152646 38.765616, -9.152905 38.766644)","LINESTRING(-9.152624 38.765063, -9.152584 38.765157, -9.152579 38.765312, -9.152646 38.765616, -9.152905 38.766644)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,6,30,110618,R. Raúl Mesnier Du Ponsard,LISBOA,40% a 21% da velocidade de fluxo livre,1.16667,4.2,110,160,38.7659,-9.15667,"LineString(-9.156795 38.766642, -9.156807 38.766427, -9.156482 38.765224)","LINESTRING(-9.156795 38.766642, -9.156807 38.766427, -9.156482 38.765224)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,7,18,110618,Al. das Linhas de Torres,LISBOA,40% a 21% da velocidade de fluxo livre,2.71111,9.76,82,338,38.7657,-9.15743,"LineString(-9.157998 38.767133, -9.157789 38.766674, -9.1577 38.766494, -9.157422 38.765877, -9.157226 38.765146, -9.157009 38.764196)","LINESTRING(-9.157998 38.767133, -9.157789 38.766674, -9.1577 38.766494, -9.157422 38.765877, -9.157226 38.765146, -9.157009 38.764196)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,7,21,110618,Al. das Linhas de Torres,LISBOA,40% a 21% da velocidade de fluxo livre,2.78889,10.04,79,338,38.7657,-9.15743,"LineString(-9.157998 38.767133, -9.157789 38.766674, -9.1577 38.766494, -9.157422 38.765877, -9.157226 38.765146, -9.157009 38.764196)","LINESTRING(-9.157998 38.767133, -9.157789 38.766674, -9.1577 38.766494, -9.157422 38.765877, -9.157226 38.765146, -9.157009 38.764196)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,9,37,110618,Al. das Linhas de Torres,LISBOA,20% a 1% da velocidade de fluxo livre,4.18889,15.08,77,604,38.7668,-9.15792,"LineString(-9.159139 38.769339, -9.158858 38.76893, -9.158695 38.768701, -9.158589 38.768561, -9.158386 38.768014, -9.158352 38.767911, -9.158224 38.767631, -9.157998 38.767133, -9.157789 38.766674, -9.1577 38.766494, -9.157422 38.765877, -9.157226 38.765146, -9.157009 38.764196)","LINESTRING(-9.159139 38.769339, -9.158858 38.76893, -9.158695 38.768701, -9.158589 38.768561, -9.158386 38.768014, -9.158352 38.767911, -9.158224 38.767631, -9.157998 38.767133, -9.157789 38.766674, -9.1577 38.766494, -9.157422 38.765877, -9.157226 38.765146, -9.157009 38.764196)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,9,48,110618,R. Raúl Mesnier Du Ponsard,LISBOA,40% a 21% da velocidade de fluxo livre,0.883333,3.18,127,160,38.7659,-9.15667,"LineString(-9.156482 38.765224, -9.156807 38.766427, -9.156795 38.766642)","LINESTRING(-9.156482 38.765224, -9.156807 38.766427, -9.156795 38.766642)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,10,35,110618,Al. das Linhas de Torres,LISBOA,20% a 1% da velocidade de fluxo livre,5.18056,18.65,67,712,38.7634,-9.15668,"LineString(-9.155469 38.76035, -9.155589 38.760579, -9.155646 38.760703, -9.1558 38.761014, -9.155826 38.761072, -9.156599 38.762766, -9.156693 38.762989, -9.156741 38.763099, -9.156807 38.763378, -9.156922 38.763867, -9.157009 38.764196, -9.157226 38.765146, -9.157422 38.765877, -9.1577 38.766494)","LINESTRING(-9.155469 38.76035, -9.155589 38.760579, -9.155646 38.760703, -9.1558 38.761014, -9.155826 38.761072, -9.156599 38.762766, -9.156693 38.762989, -9.156741 38.763099, -9.156807 38.763378, -9.156922 38.763867, -9.157009 38.764196, -9.157226 38.765146, -9.157422 38.765877, -9.1577 38.766494)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,10,49,110618,R. Joaquim Agostinho,LISBOA,20% a 1% da velocidade de fluxo livre,1.29722,4.67,69,160,38.7646,-9.15588,"LineString(-9.155983 38.765291, -9.155766 38.764309, -9.155796 38.764124, -9.156127 38.764082)","LINESTRING(-9.155983 38.765291, -9.155766 38.764309, -9.155796 38.764124, -9.156127 38.764082)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,12,20,110618,Av. Rainha D.ª Leonor,LISBOA,40% a 21% da velocidade de fluxo livre,0.513889,1.85,126,79,38.7676,-9.16108,"LineString(-9.161536 38.767554, -9.161063 38.767548, -9.16063 38.767569)","LINESTRING(-9.161536 38.767554, -9.161063 38.767548, -9.16063 38.767569)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,12,20,110618,Av. Rainha D.ª Leonor,LISBOA,40% a 21% da velocidade de fluxo livre,0.55,1.98,116,79,38.7676,-9.16108,"LineString(-9.161536 38.767554, -9.161063 38.767548, -9.16063 38.767569)","LINESTRING(-9.161536 38.767554, -9.161063 38.767548, -9.16063 38.767569)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,13,39,110618,Al. das Linhas de Torres,LISBOA,40% a 21% da velocidade de fluxo livre,2.71111,9.76,82,338,38.7657,-9.15743,"LineString(-9.157998 38.767133, -9.157789 38.766674, -9.1577 38.766494, -9.157422 38.765877, -9.157226 38.765146, -9.157009 38.764196)","LINESTRING(-9.157998 38.767133, -9.157789 38.766674, -9.1577 38.766494, -9.157422 38.765877, -9.157226 38.765146, -9.157009 38.764196)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,13,49,110618,Al. das Linhas de Torres,LISBOA,40% a 21% da velocidade de fluxo livre,2.76667,9.96,129,523,38.7665,-9.15775,"LineString(-9.158695 38.768701, -9.158589 38.768561, -9.158386 38.768014, -9.158352 38.767911, -9.158224 38.767631, -9.157998 38.767133, -9.157789 38.766674, -9.1577 38.766494, -9.157422 38.765877, -9.157226 38.765146, -9.157009 38.764196)","LINESTRING(-9.158695 38.768701, -9.158589 38.768561, -9.158386 38.768014, -9.158352 38.767911, -9.158224 38.767631, -9.157998 38.767133, -9.157789 38.766674, -9.1577 38.766494, -9.157422 38.765877, -9.157226 38.765146, -9.157009 38.764196)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,14,7,110618,Al. das Linhas de Torres,LISBOA,40% a 21% da velocidade de fluxo livre,3.375,12.15,91,501,38.765,-9.15723,"LineString(-9.157998 38.767133, -9.157789 38.766674, -9.1577 38.766494, -9.157422 38.765877, -9.157226 38.765146, -9.157009 38.764196, -9.156922 38.763867, -9.156807 38.763378, -9.156741 38.763099, -9.156693 38.762989, -9.156599 38.762766)","LINESTRING(-9.157998 38.767133, -9.157789 38.766674, -9.1577 38.766494, -9.157422 38.765877, -9.157226 38.765146, -9.157009 38.764196, -9.156922 38.763867, -9.156807 38.763378, -9.156741 38.763099, -9.156693 38.762989, -9.156599 38.762766)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,14,7,110618,Al. das Linhas de Torres,LISBOA,40% a 21% da velocidade de fluxo livre,3.57222,12.86,86,523,38.7665,-9.15775,"LineString(-9.158695 38.768701, -9.158589 38.768561, -9.158386 38.768014, -9.158352 38.767911, -9.158224 38.767631, -9.157998 38.767133, -9.157789 38.766674, -9.1577 38.766494, -9.157422 38.765877, -9.157226 38.765146, -9.157009 38.764196)","LINESTRING(-9.158695 38.768701, -9.158589 38.768561, -9.158386 38.768014, -9.158352 38.767911, -9.158224 38.767631, -9.157998 38.767133, -9.157789 38.766674, -9.1577 38.766494, -9.157422 38.765877, -9.157226 38.765146, -9.157009 38.764196)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,15,25,110618,R. António Lopes Ribeiro,LISBOA,40% a 21% da velocidade de fluxo livre,1.39167,5.01,64,203,38.7673,-9.15371,"LineString(-9.152989 38.766999, -9.153052 38.767237, -9.153151 38.767349, -9.15329 38.767428, -9.153441 38.76748, -9.153598 38.767504, -9.153764 38.767499, -9.153945 38.767451, -9.154118 38.767361, -9.154279 38.767075, -9.154267 38.766922, -9.154224 38.766769)","LINESTRING(-9.152989 38.766999, -9.153052 38.767237, -9.153151 38.767349, -9.15329 38.767428, -9.153441 38.76748, -9.153598 38.767504, -9.153764 38.767499, -9.153945 38.767451, -9.154118 38.767361, -9.154279 38.767075, -9.154267 38.766922, -9.154224 38.766769)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,15,25,110618,R. António Lopes Ribeiro,LISBOA,40% a 21% da velocidade de fluxo livre,1.40278,5.05,63,203,38.7673,-9.15371,"LineString(-9.152989 38.766999, -9.153052 38.767237, -9.153151 38.767349, -9.15329 38.767428, -9.153441 38.76748, -9.153598 38.767504, -9.153764 38.767499, -9.153945 38.767451, -9.154118 38.767361, -9.154279 38.767075, -9.154267 38.766922, -9.154224 38.766769)","LINESTRING(-9.152989 38.766999, -9.153052 38.767237, -9.153151 38.767349, -9.15329 38.767428, -9.153441 38.76748, -9.153598 38.767504, -9.153764 38.767499, -9.153945 38.767451, -9.154118 38.767361, -9.154279 38.767075, -9.154267 38.766922, -9.154224 38.766769)"
