layover_id,agency_id,service_id,start_time,end_time,location_id,block_id,start_shift_id,end_shift_id
ED100_1030_1035,43,ESC_DOM,17:10:00,17:15:00,020959,ESC_DOM_ED100,ED100,ED100
ED100_1075_1080,43,ESC_DOM,17:55:00,18:00:00,020967,ESC_DOM_ED100,ED100,ED100
ED100_1120_1125,43,ESC_DOM,18:40:00,18:45:00,020959,ESC_DOM_ED100,ED100,ED100
ED100_1165_1170,43,ESC_DOM,19:25:00,19:30:00,020967,ESC_DOM_ED100,ED100,ED100
ED100_1210_1215,43,ESC_DOM,20:10:00,20:15:00,020959,ESC_DOM_ED100,ED100,ED100
ED100_1265_1280,43,ESC_DOM,21:05:00,21:20:00,140731,ESC_DOM_ED100,ED100,ED100
ED100_861_890,43,ESC_DOM,14:21:00,14:50:00,140731,ESC_DOM_ED100,ED100,ED100
ED100_940_945,43,ESC_DOM,15:40:00,15:45:00,020429,ESC_DOM_ED100,ED100,ED100
ED100_985_990,43,ESC_DOM,16:25:00,16:30:00,020967,ESC_DOM_ED100,ED100,ED100
ED101_1075_1080,43,ESC_DOM,17:55:00,18:00:00,029589,ESC_DOM_ED101,ED101,ED101
ED101_1160_1170,43,ESC_DOM,19:20:00,19:30:00,029589,ESC_DOM_ED101,ED101,ED101
ED101_1210_1215,43,ESC_DOM,20:10:00,20:15:00,020489,ESC_DOM_ED101,ED101,ED101
ED101_551_565,43,ESC_DOM,09:11:00,09:25:00,020291,ESC_DOM_ED101,ED101,ED101
ED101_610_650,43,ESC_DOM,10:10:00,10:50:00,140731,ESC_DOM_ED101,ED101,ED101
ED101_700_735,43,ESC_DOM,11:40:00,12:15:00,020429,ESC_DOM_ED101,ED101,ED101
ED101_760_765,43,ESC_DOM,12:40:00,12:45:00,020253,ESC_DOM_ED101,ED101,ED101
ED101_790_840,43,ESC_DOM,13:10:00,14:00:00,020113,ESC_DOM_ED101,ED101,ED101
ED102_1035_1080,43,ESC_DOM,17:15:00,18:00:00,020037,ESC_DOM_ED102,ED102,ED102
ED102_1150_1155,43,ESC_DOM,19:10:00,19:15:00,020959,ESC_DOM_ED102,ED102,ED102
ED102_530_540,43,ESC_DOM,08:50:00,09:00:00,020549,ESC_DOM_ED102,ED102,ED102
ED102_560_580,43,ESC_DOM,09:20:00,09:40:00,020569,ESC_DOM_ED102,ED102,ED102
ED102_604_650,43,ESC_DOM,10:04:00,10:50:00,021018,ESC_DOM_ED102,ED102,ED102
ED102_673_705,43,ESC_DOM,11:13:00,11:45:00,020037,ESC_DOM_ED102,ED102,ED102
ED102_725_745,43,ESC_DOM,12:05:00,12:25:00,020009,ESC_DOM_ED102,ED102,ED102
ED102_785_795,43,ESC_DOM,13:05:00,13:15:00,020009,ESC_DOM_ED102,ED102,ED102
ED102_915_925,43,ESC_DOM,15:15:00,15:25:00,020009,ESC_DOM_ED102,ED102,ED102
ED102_945_975,43,ESC_DOM,15:45:00,16:15:00,020037,ESC_DOM_ED102,ED102,ED102
ED102_995_1015,43,ESC_DOM,16:35:00,16:55:00,020009,ESC_DOM_ED102,ED102,ED102
ED103_1115_1135,43,ESC_DOM,18:35:00,18:55:00,020308,ESC_DOM_ED103,ED103,ED103
ED103_1175_1180,43,ESC_DOM,19:35:00,19:40:00,020883,ESC_DOM_ED103,ED103,ED103
ED103_1223_1240,43,ESC_DOM,20:23:00,20:40:00,020073,ESC_DOM_ED103,ED103,ED103
ED103_1281_1300,43,ESC_DOM,21:21:00,21:40:00,020977,ESC_DOM_ED103,ED103,ED103
ED103_595_600,43,ESC_DOM,09:55:00,10:00:00,020317,ESC_DOM_ED103,ED103,ED103
ED103_655_660,43,ESC_DOM,10:55:00,11:00:00,140021,ESC_DOM_ED103,ED103,ED103
ED103_770_775,43,ESC_DOM,12:50:00,12:55:00,020800,ESC_DOM_ED103,ED103,ED103
ED103_835_840,43,ESC_DOM,13:55:00,14:00:00,020317,ESC_DOM_ED103,ED103,ED103
ED103_870_920,43,ESC_DOM,14:30:00,15:20:00,021017,ESC_DOM_ED103,ED103,ED103
ED103_950_990,43,ESC_DOM,15:50:00,16:30:00,020317,ESC_DOM_ED103,ED103,ED103
ED104_1055_1060,43,ESC_DOM,17:35:00,17:40:00,029589,ESC_DOM_ED104,ED104,ED104
ED104_1213_1215,43,ESC_DOM,20:13:00,20:15:00,149991,ESC_DOM_ED104,ED104,ED104
ED104_1442_1450,43,ESC_DOM,24:02:00,24:10:00,140039,ESC_DOM_ED104,ED104,ED104
ED104_550_570,43,ESC_DOM,09:10:00,09:30:00,020941,ESC_DOM_ED104,ED104,ED104
