line_id,line_short_name,line_long_name,route_id,agency_id,route_origin,route_destination,route_short_name,route_long_name,route_desc,route_remarks,route_type,contract,path_type,circular,school,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
3001,3001,Almada (Cristo Rei) - Cacilhas (Terminal),3001_0,43,ALMADA (LARGO CRISTO REI) TERMINAL,Cacilhas (Terminal) P5,3001,Almada (Cristo Rei) - Cacilhas (Terminal),,,3,,1,0,,,3D85C6,FFFFFF,,1,1
3003,3003,Almada Forum - Cacilhas (Terminal),3003_0,43,Centro Comercial de Almada P2,Cacilhas (Terminal) P9,3003,Almada Forum - Cacilhas (Terminal),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3004,3004,Almada Forum - Marisol,3004_0,43,Centro Comercial de Almada P2,MARISOL (R MANUEL FEVEREIRO 5),3004,Almada Forum - Marisol,,,3,TML Area 3,1,0,,,C61D23,FFFFFF,,1,1
3004,3004,Almada Forum - Marisol,3004_1,43,Centro Comercial de Almada P2,MARISOL (R MANUEL FEVEREIRO 5),3004,Vale Figueira (Esc Sec Daniel Sampaio) - Marisol,,,3,TML Area 3,3,0,,,C61D23,FFFFFF,,1,1
3005,3005,Flexibus Almada | Circular,3005_0,43,Cacilhas (Terminal) P10,Cacilhas (Terminal) P10,3005,Flexibus Almada | Circular,,,3,,1,1,,,3D85C6,FFFFFF,,1,1
3007,3007,Bairro Fundo Fomento - Cacilhas (Terminal),3007_0,43,Bº F FOMENTO R 3 VALES (ESCOLA BÁSICA),Cacilhas (Terminal) P9,3007,Bairro Fundo Fomento - Cacilhas (Terminal),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3008,3008,Monte de Caparica - Quintinhas,3008_0,43,MTE CAPARICA AV TORRADO SILVA (X) FOMEGA,QUINTINHAS R QTA CIMA (X) R 1º MAIO,3008,Monte de Caparica - Quintinhas,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3009,3009,Cacilhas (Terminal) - Trafaria (Terminal),3009_0,43,Cacilhas (Terminal) P1,Trafaria (Terminal) P1,3009,Cacilhas (Terminal) - Trafaria (Terminal),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3011,3011,Cacilhas (Terminal) - Costa da Caparica via Escola José Cardoso Pires,3011_0,43,Cacilhas (Terminal) P6,COSTA CAPARICA (TORRE DAS ARGOLAS) TER P4,3011,Cacilhas (Terminal) - Costa da Caparica via Escola José Cardoso Pires,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3012,3012,Cacilhas (Terminal) - Fonte da Telha,3012_0,43,Cacilhas (Terminal) P2,FONTE TELHA (PRAIA),3012,Cacilhas (Terminal) - Fonte da Telha,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3012,3012,Cacilhas (Terminal) - Fonte da Telha,3012_1,43,Cacilhas (Terminal) P2,FONTE TELHA (PRAIA),3012,Cacilhas (Terminal) - Charneca da Caparica (Tremoceira),,,3,,3,0,,,C61D23,FFFFFF,,1,1
3013,3013,Cacilhas (Terminal) - Feijó (Almada Forum),3013_0,43,Cacilhas (Terminal) P4,Centro Comercial de Almada P2,3013,Cacilhas (Terminal) - Feijó (Almada Forum),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3017,3017,Charneca de Caparica - Pragal (Estação),3017_0,43,CH CAPARICA (R PEDRO COSTA) TREMOCEIRA,PRAGAL (AV JOSE C PIRES) ESTAÇÃO,3017,Charneca de Caparica - Pragal (Estação),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3018,3018,Charneca de Caparica - Sobreda,3018_0,43,CH CAPARICA (ESTR BELA VISTA 191),SOBREDA (R MANUEL PARADA) ESCOLA SEC,3018,Charneca de Caparica - Sobreda,,,3,,1,0,,,C61D23,FFFFFF,,1,1
3019,3019,Charneca de Caparica - Trafaria (Terminal),3019_0,43,CH CAPARICA (R PEDRO COSTA) TREMOCEIRA,Trafaria (Terminal) P1,3019,Charneca de Caparica - Trafaria (Terminal),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3021,3021,Costa da Caparica (Terminal) - Monte de Caparica (FCT),3021_0,43,COSTA CAPARICA (TORRE DAS ARGOLAS) TER P2,MONTE CAPARICA (FCT) ROTUNDA,3021,Costa da Caparica (Terminal) - Monte de Caparica (FCT),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3022,3022,Costa da Caparica (Terminal) - Cacilhas (Terminal),3022_0,43,COSTA CAPARICA (TORRE ARGOLAS) TER P1,Cacilhas (Terminal) P4,3022,Costa da Caparica (Terminal) - Cacilhas (Terminal),,,3,,1,0,,,C61D23,FFFFFF,,1,1
3023,3023,Costa da Caparica (Terminal) - Laranjeiro,3023_0,43,COSTA CAPARICA (TORRE ARGOLAS) TER P1,LARANJEIRO (R D MANUEL 11) ESTACIONA,3023,Costa da Caparica (Terminal) - Laranjeiro,,,3,,1,0,,,C61D23,FFFFFF,,1,1
