route_id,pattern_id,pattern_short_name,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,start_shift_id,end_shift_id,shape_id,wheelchair_accessible,bikes_allowed,demand
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_0630_0659_0_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU150,EU150,EU150,3001_0_1,,,4
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_0700_0729_0_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU150,EU150,EU150,3001_0_1,,,5
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_0730_0759_1_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU78,EU78,EU78,3001_0_1,,,6
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_0830_0859_0_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU78,EU78,EU78,3001_0_1,,,5
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_0900_0929_0_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU235,EU235,EU235,3001_0_1,,,8
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_0930_0959_0_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU219,EU219,EU219,3001_0_1,,,4
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_0930_0959_1_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU235,EU235,EU235,3001_0_1,,,8
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_1000_1029_0_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU219,EU219,EU219,3001_0_1,,,6
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_1030_1059_0_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU114,EU114,EU114,3001_0_1,,,7
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_1100_1129_0_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU283,EU283,EU283,3001_0_1,,,8
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_1130_1159_0_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU78,EU78,EU78,3001_0_1,,,11
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_1200_1229_0_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU60,EU60,EU60,3001_0_1,,,13
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_1230_1259_0_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU78,EU78,EU78,3001_0_1,,,14
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_1300_1329_0_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU60,EU60,EU60,3001_0_1,,,9
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_1330_1359_1_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU210,EU210,EU210,3001_0_1,,,20
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_1400_1429_0_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU78,EU78,EU78,3001_0_1,,,11
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_1430_1459_0_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU219,EU219,EU219,3001_0_1,,,11
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_1430_1459_1_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU62,EU62,EU62,3001_0_1,,,11
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_1500_1529_0_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU219,EU219,EU219,3001_0_1,,,14
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_1530_1559_0_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU62,EU62,EU62,3001_0_1,,,15
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_1600_1629_0_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU261,EU261,EU261,3001_0_1,,,16
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_1630_1659_0_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU219,EU219,EU219,3001_0_1,,,15
3001_0,3001_0_1,Cacilhas (Terminal),ESC_DU,3001_0_1_1700_1729_0_ESC_DU,Cacilhas (Terminal),,0,ESC_DU_EU261,EU261,EU261,3001_0_1,,,11
