service_id,holiday,period,day_type,date,exception_type
2600,0,1,3,20251026,1
1600,0,1,1,20251016,1
600,0,1,1,20251006,1
3500,0,1,1,20251104,1
3000,0,1,1,20251030,1
5600,0,1,1,20251125,1
2100,0,1,1,20251021,1
6200,1,1,3,20251201,1
6000,0,1,2,20251129,1
3700,0,1,1,20251106,1
3900,0,1,2,20251108,1
4800,0,1,1,20251117,1
4600,0,1,2,20251115,1
5000,0,1,1,20251119,1
200,0,1,1,20251002,1
4300,0,1,1,20251112,1
5900,0,1,1,20251128,1
1100,0,1,2,20251011,1
3100,0,1,1,20251031,1
4500,0,1,1,20251114,1
4100,0,1,1,20251110,1
1300,0,1,1,20251013,1
7100,0,1,1,20251210,1
6800,0,1,3,20251207,1
6300,0,1,1,20251202,1
7300,0,1,1,20251212,1
6600,0,1,1,20251205,1
3300,0,1,3,20251102,1
7500,0,1,3,20251214,1
1800,0,1,2,20251018,1
100,0,1,1,20251001,1
800,0,1,1,20251008,1
300,0,1,1,20251003,1
7200,0,1,1,20251211,1
7600,0,1,1,20251215,1
2200,0,1,1,20251022,1
5300,0,1,2,20251122,1
7400,0,1,2,20251213,1
400,0,1,2,20251004,1
2700,0,1,1,20251027,1
7000,0,1,1,20251209,1
6100,0,1,3,20251130,1
5400,0,1,3,20251123,1
4700,0,1,3,20251116,1
4900,0,1,1,20251118,1
5800,0,1,1,20251127,1
1000,0,1,1,20251010,1
1200,0,1,3,20251012,1
6400,0,1,1,20251203,1
6700,0,1,2,20251206,1
2000,0,1,1,20251020,1
3200,1,1,3,20251101,1
1900,0,1,3,20251019,1
5700,0,1,1,20251126,1
3600,0,1,1,20251105,1
2400,0,1,1,20251024,1
1700,0,1,1,20251017,1
1500,0,1,1,20251015,1
3800,0,1,1,20251107,1
6500,0,1,1,20251204,1
3400,0,1,1,20251103,1
1400,0,1,1,20251014,1
2800,0,1,1,20251028,1
2300,0,1,1,20251023,1
4200,0,1,1,20251111,1
6900,1,1,3,20251208,1
4400,0,1,1,20251113,1
2900,0,1,1,20251029,1
5500,0,1,1,20251124,1
700,0,1,1,20251007,1
5100,0,1,1,20251120,1
900,0,1,1,20251009,1
2500,0,1,2,20251025,1
500,1,1,3,20251005,1
4000,0,1,3,20251109,1
5200,0,1,1,20251121,1
