fare_id,route_id
T2-BORDO,0000_0
T2-PREPAGO,0000_0
T1-BORDO,4001_0
T1-PREPAGO,4001_0
T1-BORDO,4002_0
T1-PREPAGO,4002_0
T2-BORDO,4101_0
T2-PREPAGO,4101_0
T2-BORDO,4102_0
T2-PREPAGO,4102_0
T1-BORDO,4103_0
T1-PREPAGO,4103_0
T1-BORDO,4104_0
T1-PREPAGO,4104_0
T1-BORDO,4105_0
T1-PREPAGO,4105_0
T1-BORDO,4106_0
T1-PREPAGO,4106_0
T1-BORDO,4107_0
T1-PREPAGO,4107_0
T2-BORDO,4202_0
T2-PREPAGO,4202_0
T1-BORDO,4203_0
T1-PREPAGO,4203_0
T1-BORDO,4204_0
T1-PREPAGO,4204_0
T2-BORDO,4205_0
T2-PREPAGO,4205_0
T1-BORDO,4206_0
T1-PREPAGO,4206_0
T1-BORDO,4207_0
T1-PREPAGO,4207_0
T1-BORDO,4207_1
T1-PREPAGO,4207_1
T1-BORDO,4207_2
T1-PREPAGO,4207_2
T2-BORDO,4208_0
T2-PREPAGO,4208_0
T1-BORDO,4211_0
T1-PREPAGO,4211_0
T2-BORDO,4212_0
T2-PREPAGO,4212_0
T1-BORDO,4301_0
T1-PREPAGO,4301_0
T2-BORDO,4302_0
T2-PREPAGO,4302_0
T1-BORDO,4303_0
T1-PREPAGO,4303_0
T1-BORDO,4303_1
T1-PREPAGO,4303_1
T2-BORDO,4304_0
T2-PREPAGO,4304_0
T2-BORDO,4305_0
T2-PREPAGO,4305_0
T2-BORDO,4307_0
T2-PREPAGO,4307_0
T2-BORDO,4307_1
T2-PREPAGO,4307_1
T2-BORDO,4308_0
T2-PREPAGO,4308_0
T2-BORDO,4310_0
T2-PREPAGO,4310_0
T2-BORDO,4311_0
T2-PREPAGO,4311_0
T2-BORDO,4312_0
T2-PREPAGO,4312_0
T2-BORDO,4312_1
T2-PREPAGO,4312_1
T2-BORDO,4312_2
T2-PREPAGO,4312_2
T2-BORDO,4313_0
T2-PREPAGO,4313_0
T1-BORDO,4320_0
T1-PREPAGO,4320_0
T2-BORDO,4321_0
T2-PREPAGO,4321_0
T2-BORDO,4322_0
T2-PREPAGO,4322_0
T2-BORDO,4322_1
T2-PREPAGO,4322_1
T2-BORDO,4401_0
T2-PREPAGO,4401_0
T2-BORDO,4402_0
T2-PREPAGO,4402_0
T1-BORDO,4403_0
T1-PREPAGO,4403_0
T1-BORDO,4404_0
T1-PREPAGO,4404_0
T1-BORDO,4405_0
T1-PREPAGO,4405_0
