line_id,line_short_name,line_long_name,line_type,route_id,agency_id,route_origin,route_destination,route_short_name,route_long_name,route_desc,route_remarks,route_type,contract,path_type,circular,school,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
4001,4001,Alcochete | Circular,0,4001_0,44,Alcochete,Alcochete,4001,Alcochete | Circular,,,3,,1,1,0,,3D85C6,FFFFFF,,1,1
4002,4002,São Francisco | Circular,0,4002_0,44,São Francisco,São Francisco,4002,São Francisco | Circular,,,3,,1,1,0,,3D85C6,FFFFFF,,1,1
4101,4101,Alhos Vedros (Escola José Afonso) - Arroteias,0,4101_0,44,Alhos Vedros (Escola José Afonso),Arroteias,4101,Alhos Vedros (Escola José Afonso) - Arroteias,,,3,,1,0,0,,C61D23,FFFFFF,,1,1
4102,4102,Moita (Estação) - Sarilhos Pequenos via Gaio-Rosário,0,4102_0,44,Moita (Estação),Sarilhos Pequenos,4102,Moita (Estação) - Sarilhos Pequenos via Gaio-Rosário,,,3,,1,0,0,,C61D23,FFFFFF,,1,1
4103,4103,Moita (Estação) - Sarilhos Pequenos,0,4103_0,44,Moita (Estação),Sarilhos Pequenos,4103,Moita (Estação) - Sarilhos Pequenos,,,3,,1,0,0,,3D85C6,FFFFFF,,1,1
4104,4104,Moita | Circular via Centro,0,4104_0,44,Moita,Moita,4104,Moita | Circular via centro,,,3,,1,1,0,,3D85C6,FFFFFF,,1,1
4105,4105,Moita | Circular via Carvalhinho,0,4105_0,44,Moita (Estação CP),Moita (Estação CP),4105,Moita | Circular via Carvalhinho,,,3,,1,1,0,,3D85C6,FFFFFF,,1,1
4106,4106,Alhos Vedros | Circular via Centro de Saúde,0,4106_0,44,Alhos Vedros | Circular,Alhos Vedros | Circular,4106,Alhos Vedros | Circular via Centro de Saúde,,,3,,1,1,0,,3D85C6,FFFFFF,,1,1
4107,4107,Alhos Vedros | Circular via Arroteias,0,4107_0,44,Alhos Vedros | Circular,Alhos Vedros | Circular,4107,Alhos Vedros | Circular via Arroteias,,,3,,1,1,0,,3D85C6,FFFFFF,,1,1
4202,4202,Afonsoeiro - Bairro do Saldanha via Bairro da Calçada,0,4202_0,44,Afonsoeiro,Bairro do Saldanha,4202,Afonsoeiro - Bairro do Saldanha via Bairro da Calçada,,,3,,1,0,0,,C61D23,FFFFFF,,1,1
4203,4203,Afonsoeiro - Montijo (Terminal Fluvial) via Bairro da Liberdade,0,4203_0,44,Afonsoeiro,Montijo (Terminal Fluvial),4203,Afonsoeiro - Montijo (Terminal Fluvial) via Bairro da Liberdade,,,3,,1,0,0,,3D85C6,FFFFFF,,1,1
4204,4204,Bairro do Charqueirão - Montijo (Terminal Fluvial),0,4204_0,44,Bairro do Charqueirão,Montijo (Terminal Fluvial),4204,Bairro do Charqueirão - Montijo (Terminal Fluvial),,,3,,1,0,0,,3D85C6,FFFFFF,,1,1
