stop_id,stop_id_stepp,stop_code,stop_name,stop_desc,stop_remarks,stop_lat,stop_lon,zone_shift,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,entrance_restriction,exit_restriction,slot,signalling,shelter,bench,network_map,schedule,real_time_information,tariff,preservation_state,equipment,observations,region,municipality
010001,0,010001,Rua Carlos Manuel Rodrigues Francisco (Escola),,,38.754244,-8.959557,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010002,0,010002,R Carlos M. Francisco 229 (Escola Monte Novo),,,38.754572,-8.959615,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010005,0,010005,ALCOCHETE (R CIPRIÃO FIGUEIREDO),,,38.754175,-8.961806,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010007,0,010007,ALCOCHETE (R LEITE CUNHA) BIBLIOTECA,,,38.753196,-8.963687,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010008,0,010008,ALCOCHETE (R LEITE CUNHA) BIBLIOTECA,,,38.753271,-8.963504,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010009,0,010009,ALCOCHETE (AV RESTAURAÇÃO) EB MANUEL I,,,38.750706,-8.962749,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010010,0,010010,ALCOCHETE (AV RESTAURAÇÃO) EB MANUEL I,,,38.751002,-8.962783,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010011,0,010011,ALCOCHETE (R JOSÉ GRILO EVANGELISTA),,,38.748855,-8.962159,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010012,0,010012,ALCOCHETE (R JOSÉ GRILO EVANGELISTA),,,38.748866,-8.961929,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010015,0,010015,ALCOCHETE (R LIBERDADE) ESCOLA VALBOM,,,38.748758,-8.967106,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010016,0,010016,ALCOCHETE (R LIBERDADE) ESCOLA VALBOM,,,38.749364,-8.966956,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010017,0,010017,ALCOCHETE (AV D MANUEL I 25),,,38.750122,-8.96804,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010018,0,010018,ALCOCHETE (AV D MANUEL I 25),,,38.749981,-8.967987,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010019,0,010019,ALCOCH (AV INF D JOÃO) PRAIA MOINHOS,,,38.748365,-8.970791,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010021,0,010021,PASSEIO CARAVELAS (FÓRUM ALCOCHETE),,,38.746655,-8.971506,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010023,0,010023,ALCOCHETE (R 25 DE ABRIL 8),,,38.747993,-8.969371,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010025,0,010025,ALCOCHETE (R Mª TERESA NORONHA),,,38.75266,-8.961294,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010027,0,010027,ALCOCHETE (R CARLOS M ROD FRANCISCO 408),,,38.753259,-8.95813,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010028,0,010028,ALCOCHETE (R CARLOS M ROD FRANCISCO 408),,,38.753307,-8.958037,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010029,0,010029,ALCOCHETE (R LÁPARO) SUPERMERCADO,,,38.751255,-8.956741,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010030,0,010030,ALCOCHETE (R LÁPARO) SUPERMERCADO,,,38.751242,-8.956625,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010031,0,010031,ALCOCHETE (R LÁPARO) ESTALEIRO MUN,,,38.749842,-8.953465,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010032,0,010032,ALCOCHETE (R LÁPARO) ESTALEIRO MUN,,,38.749911,-8.953472,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010033,0,010033,ALCOCHETE (R LÁPARO X R BRACIEIRA),,,38.748189,-8.951511,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010034,0,010034,ALCOCHETE (R LÁPARO X R BRACIEIRA),,,38.748278,-8.951503,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010035,0,010035,ALCOCHETE (LAGOA LÁPARO),,,38.746343,-8.948745,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010036,0,010036,ALCOCHETE (LAGOA LÁPARO),,,38.745936,-8.948375,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010039,0,010039,R DOS DAMASCOS,,,38.748707,-8.945941,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010040,0,010040,R DOS DAMASCOS,,,38.748758,-8.945841,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010041,0,010041,Acesso à Rua dos Damascos (Supermercado),,,38.751652,-8.94458,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010043,0,010043,ALCOCHETE (AV BARRIS) CENTRO SAÚDE,,,38.748435,-8.964307,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010045,0,010045,AV DOS BARRIS - PQ DESP DO VALBOM (ROT),,,38.745904,-8.96679,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010047,0,010047,R VALE FIGUEIRA (CASAS NOVAS),,,38.740462,-8.960715,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010048,0,010048,R VALE FIGUEIRA (CASAS NOVAS),,,38.74049,-8.960615,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010049,0,010049,ESTR LAGOA DA CHEIA AGROPECUÁRIA,,,38.735205,-8.956538,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010050,0,010050,ESTR LAGOA DA CHEIA AGROPECUÁRIA,,,38.735227,-8.956456,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010051,0,010051,ESTR LAGOA DA CHEIA 610,,,38.732272,-8.954484,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010052,0,010052,ESTR LAGOA DA CHEIA 610,,,38.732396,-8.954452,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010053,0,010053,ESTR DOS MALMEQUERES 316,,,38.731476,-8.956327,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010054,0,010054,ESTR DOS MALMEQUERES 316,,,38.731377,-8.956669,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010055,0,010055,R FUTEBOL CLUBE S FRANCISCO (CERCAL),,,38.732838,-8.960893,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010056,0,010056,R FUTEBOL CLUBE S FRANCISCO (CERCAL),,,38.732718,-8.960852,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010057,0,010057,R FUTEBOL CLUBE S FRANC X R ANT ALEIXO 1,,,38.732284,-8.970956,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010058,0,010058,R FUTEBOL CLUBE S FRANC X R ANT ALEIXO 1,,,38.732255,-8.970549,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010059,0,010059,S FRANCISCO (EN 119 31),,,38.732385,-8.972425,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010061,0,010061,S FRANCISCO (PRAÇA DAS AVES DO TEJO),,,38.731198,-8.973869,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010062,0,010062,S FRANCISCO (PRAÇA DAS AVES DO TEJO),,,38.731293,-8.97383,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010063,0,010063,AV CORVO MARINHO URB VILLAS DO DUQUE,,,38.728616,-8.973287,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010064,0,010064,Urbanização Villas do Duque (Fte Espaço Comercial),,,38.728807,-8.973181,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010066,0,010066,S FRANCISCO (EN 119 114),,,38.731723,-8.972361,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
010067,0,010067,R FUTEBOL CLUBE S FRANCISCO (VILA AZUL),,,38.731588,-8.965834,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1502
090228,0,090228,VALE AMOREIRA (LGO CRAVO 47),,,38.642598,-9.037131,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090229,0,090229,VALE AMOREIRA (R JOAO VILLARET 3),,,38.647293,-9.040559,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090231,0,090231,VALE AMOREIRA (R JOSE ALM NEGREIROS 28),,,38.65056,-9.039994,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090233,0,090233,B BANHEIRA (R J GOMES FERRE)ESC D JOAO I,,,38.654264,-9.038125,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090234,0,090234,B BANHEIRA (R J GOMES FERRE)ESC D JOAO I,,,38.654101,-9.037877,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090235,0,090235,BAIXA BANHEIRA (R AUGUSTO GIL 73),,,38.654238,-9.042311,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090236,0,090236,BAIXA BANHEIRA (R AUGUSTO GIL 73),,,38.654216,-9.042054,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090237,0,090237,BAIXA BANHEIRA(R AUGUSTO GIL 30),,,38.654426,-9.045158,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090238,0,090238,BAIXA BANHEIRA(R AUGUSTO GIL 30),,,38.654477,-9.045037,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090239,0,090239,B BANHEIRA (R LIBERDADE) SUPERMERCADO,,,38.653871,-9.046231,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090240,0,090240,B BANHEIRA (R LIBERDADE) SUPERMERCADO,,,38.653893,-9.046134,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090241,0,090241,BAIXA BANHEIRA (R LIBERDADE) ESCOLA,,,38.650165,-9.045351,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090242,0,090242,BAIXA BANHEIRA (R LIBERDADE) ESCOLA,,,38.650377,-9.045336,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090243,0,090243,ALTO DA SERRA,,,38.650029,-9.046642,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090247,0,090247,R Ville Plaisir 28,,,38.659822,-9.049492,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090248,0,090248,R VILLE PLAISIR 28,,,38.659822,-9.049396,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090249,0,090249,VALE AMOREIRA (R JOSE ALM NEGREIROS 18),,,38.64997,-9.04042,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090251,0,090251,VALE DA AMOREIRA (BILBIOTECA),,,38.648421,-9.041504,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090253,0,090253,VALE AMOREIRA (ESC SEC BAIXA BANHEIRA),,,38.646318,-9.039391,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090255,0,090255,VALE AMOREIRA (R BORDALO PINHEIRO 3),,,38.650972,-9.038347,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
