block_id,agency_id,registration_date,available_seats,available_standing,typology,vclass,propulsion,emission,lowered_floor
1_1003,41,20251013,37,52,3,2,2,0,1
1_1008,41,20251013,37,52,3,2,2,0,1
1_1011,41,20251013,37,52,3,2,2,0,1
1_1020,41,20251013,37,52,3,2,2,0,1
1_1022,41,20251013,37,52,3,2,2,0,1
1_1024,41,20251013,37,52,3,2,2,0,1
1_1027,41,20251013,15,10,1,1,2,0,1
1_1029,41,20251013,37,52,3,2,2,0,1
1_1039,41,20251013,15,10,1,1,2,0,1
1_1040,41,20251013,37,52,3,2,2,0,1
1_1043,41,20251013,37,52,3,2,2,0,1
1_1049,41,20251013,37,52,3,2,2,0,1
1_1053,41,20251013,37,52,3,2,2,0,1
1_1059,41,20251013,37,52,3,2,2,0,1
1_1062,41,20251013,37,52,3,2,2,0,1
1_1064,41,20251013,37,52,3,2,2,0,1
1_1069,41,20251013,37,52,3,2,2,0,1
1_1072,41,20251013,37,52,3,2,2,0,1
1_1074,41,20251013,37,52,3,2,2,0,1
1_1079,41,20251013,37,52,3,2,2,0,1
1_1082,41,20251013,37,52,3,2,2,0,1
1_1084,41,20251013,37,52,3,2,2,0,1
1_1089,41,20251013,37,52,3,2,2,0,1
1_1092,41,20251013,37,52,3,2,2,0,1
1_1094,41,20251013,15,10,1,1,2,0,1
1_1099,41,20251013,37,52,3,2,2,0,1
1_1201,41,20251013,37,52,3,2,2,0,1
1_1204,41,20251013,37,52,3,2,2,0,1
1_1206,41,20251013,37,52,3,2,2,0,1
1_1210,41,20251013,15,10,1,1,2,0,1
1_1213,41,20251013,37,52,3,2,2,0,1
1_1215,41,20251013,37,52,3,2,2,0,1
1_1220,41,20251013,15,10,1,1,2,0,1
1_1222,41,20251013,37,52,3,2,2,0,1
1_1224,41,20251013,37,52,3,2,2,0,1
1_1231,41,20251013,37,52,3,2,2,0,1
1_1241,41,20251013,37,52,3,2,2,0,1
1_1305,41,20251013,15,10,1,1,2,0,1
1_1307,41,20251013,15,10,1,1,2,0,1
1_1309,41,20251013,37,52,3,2,2,0,1
1_1314,41,20251013,37,52,3,2,2,0,1
1_1316,41,20251013,15,10,1,1,2,0,1
1_1326,41,20251013,37,52,3,2,2,0,1
1_1328,41,20251013,15,10,1,1,2,0,1
1_1332,41,20251013,37,52,3,2,2,0,1
1_1334,41,20251013,37,52,3,2,2,0,1
1_1336,41,20251013,15,10,1,1,2,0,1
1_1338,41,20251013,37,52,3,2,2,0,1
1_1342,41,20251013,37,52,3,2,2,0,1
1_1409,41,20251013,37,52,3,2,2,0,1
1_1412,41,20251013,15,10,1,1,2,0,1
1_1414,41,20251013,37,52,3,2,2,0,1
1_1415,41,20251013,37,52,3,2,2,0,1
1_1417,41,20251013,37,52,3,2,2,0,1
1_1425,41,20251013,37,52,3,2,2,0,1
1_1430,41,20251013,37,52,3,2,2,0,1
1_1435,41,20251013,37,52,3,2,2,0,1
1_1437,41,20251013,37,52,3,2,2,0,1
1_1439,41,20251013,15,10,1,1,2,0,1
1_1443,41,20251013,37,52,3,2,2,0,1
1_1445,41,20251013,15,10,1,1,2,0,1
1_1454,41,20251013,37,52,3,2,2,0,1
1_1464,41,20251013,37,52,3,2,2,0,1
1_1466,41,20251013,37,52,3,2,2,0,1
1_1471,41,20251013,37,52,3,2,2,0,1
1_1472,41,20251013,15,10,1,1,2,0,1
1_1476,41,20251013,37,52,3,2,2,0,1
1_1478,41,20251013,37,52,3,2,2,0,1
1_1608,41,20251013,37,52,3,2,2,0,1
1_1611,41,20251013,37,52,3,2,2,0,1
1_1613,41,20251013,37,52,3,2,2,0,1
1_1620,41,20251013,37,52,3,2,2,0,1
1_1621,41,20251013,37,52,3,2,2,0,1
1_1623,41,20251013,37,52,3,2,2,0,1
1_1629,41,20251013,29,55,2,2,2,0,1
1_1631,41,20251013,37,52,3,2,2,0,1
1_1633,41,20251013,37,52,3,2,2,0,1
1_1636,41,20251013,37,52,3,2,2,0,1
1_1641,41,20251013,37,52,3,2,2,0,1
1_1648,41,20251013,37,52,3,2,2,0,1
1_1658,41,20251013,37,52,3,2,2,0,1
1_1660,41,20251013,37,52,3,2,2,0,1
1_1665,41,20251013,37,52,3,2,2,0,1
1_1705,41,20251013,37,52,3,2,2,0,1
1_1707,41,20251013,37,52,3,2,2,0,1
1_1709,41,20251013,15,10,1,1,2,0,1
1_1710,41,20251013,15,10,1,1,2,0,1
1_1713,41,20251013,37,52,3,2,2,0,1
1_1715,41,20251013,37,52,3,2,2,0,1
1_1720,41,20251013,37,52,3,2,2,0,1
1_1721,41,20251013,37,52,3,2,2,0,1
1_1725,41,20251013,15,10,1,1,2,0,1
1_1727,41,20251013,37,52,3,2,2,0,1
1_1730,41,20251013,15,10,1,1,2,0,1
1_1731,41,20251013,15,10,1,1,2,0,1
1_1745,41,20251013,37,52,3,2,2,0,1
1_1755,41,20251013,15,10,1,1,2,0,1
1_1760,41,20251013,37,52,3,2,2,0,1
1_1767,41,20251013,37,52,3,2,2,0,1
1_1770,41,20251013,37,52,3,2,2,0,1
1_1775,41,20251013,37,52,3,2,2,0,1
1_1777,41,20251013,37,52,3,2,2,0,1
1_1779,41,20251013,37,52,3,2,2,0,1
1_1780,41,20251013,37,52,3,2,2,0,1
1_1787,41,20251013,37,52,3,2,2,0,1
1_1005,41,20251013,37,52,3,2,2,0,1
1_1006,41,20251013,37,52,3,2,2,0,1
1_1030,41,20251013,15,10,1,1,2,0,1
1_1032,41,20251013,15,10,1,1,2,0,1
1_1034,41,20251013,15,10,1,1,2,0,1
1_1035,41,20251013,37,52,3,2,2,0,1
1_1037,41,20251013,37,52,3,2,2,0,1
1_1047,41,20251013,37,52,3,2,2,0,1
1_1050,41,20251013,37,52,3,2,2,0,1
1_1054,41,20251013,37,52,3,2,2,0,1
1_1055,41,20251013,37,52,3,2,2,0,1
1_1075,41,20251013,37,52,3,2,2,0,1
1_1076,41,20251013,15,10,1,1,2,0,1
1_1078,41,20251013,37,52,3,2,2,0,1
1_1080,41,20251013,37,52,3,2,2,0,1
1_1095,41,20251013,37,52,3,2,2,0,1
1_1096,41,20251013,37,52,3,2,2,0,1
1_1097,41,20251013,37,52,3,2,2,0,1
1_1098,41,20251013,37,52,3,2,2,0,1
1_1208,41,20251013,37,52,3,2,2,0,1
1_1209,41,20251013,37,52,3,2,2,0,1
1_1217,41,20251013,37,52,3,2,2,0,1
1_1219,41,20251013,37,52,3,2,2,0,1
1_1225,41,20251013,37,52,3,2,2,0,1
1_1226,41,20251013,37,52,3,2,2,0,1
1_1227,41,20251013,37,52,3,2,2,0,1
1_1228,41,20251013,37,52,3,2,2,0,1
1_1229,41,20251013,37,52,3,2,2,0,1
1_1235,41,20251013,37,52,3,2,2,0,1
1_1236,41,20251013,37,52,3,2,2,0,1
1_1237,41,20251013,37,52,3,2,2,0,1
1_1243,41,20251013,37,52,3,2,2,0,1
1_1244,41,20251013,37,52,3,2,2,0,1
1_1318,41,20251013,37,52,3,2,2,0,1
1_1321,41,20251013,37,52,3,2,2,0,1
1_1322,41,20251013,37,52,3,2,2,0,1
1_1323,41,20251013,37,52,3,2,2,0,1
1_1324,41,20251013,37,52,3,2,2,0,1
1_1335,41,20251013,37,52,3,2,2,0,1
1_1339,41,20251013,37,52,3,2,2,0,1
1_1343,41,20251013,37,52,3,2,2,0,1
1_1402,41,20251013,15,10,1,1,2,0,1
1_1405,41,20251013,37,52,3,2,2,0,1
1_1406,41,20251013,37,52,3,2,2,0,1
1_1407,41,20251013,37,52,3,2,2,0,1
1_1410,41,20251013,15,10,1,1,2,0,1
1_1419,41,20251013,15,10,1,1,2,0,1
1_1421,41,20251013,37,52,3,2,2,0,1
1_1424,41,20251013,37,52,3,2,2,0,1
1_1427,41,20251013,15,10,1,1,2,0,1
1_1440,41,20251013,37,52,3,2,2,0,1
1_1441,41,20251013,37,52,3,2,2,0,1
1_1444,41,20251013,15,10,1,1,2,0,1
1_1450,41,20251013,37,52,3,2,2,0,1
1_1451,41,20251013,37,52,3,2,2,0,1
1_1452,41,20251013,37,52,3,2,2,0,1
1_1468,41,20251013,15,10,1,1,2,0,1
