line_id,line_short_name,line_long_name,route_id,agency_id,route_origin,route_destination,route_short_name,route_long_name,path_type,route_type,circular,route_color,route_text_color
1001,1001,"Alfragide (Estr Seminario) - Reboleira (Estação)",1001_0,41,"Alfragide (Hosp Veterinário)","Reboleira (Estação)",1001,"Alfragide (Estr Seminario) - Reboleira (Estação)",1,3,0,"C61D23","FFFFFF"
1002,1002,"Reboleira (Estação) | Circular via Alfragide (Centro comercial ) e Amadora (Estação Sul)",1002_0,41,"Reboleira (Estação)","Reboleira (Estação)",1002,"Reboleira (Estação) | Circular via Alfragide (Centro comercial ) e Amadora (Estação Sul)",1,3,1,"C61D23","FFFFFF"
1003,1003,"Amadora (Estação Norte) - Amadora Este (Metro)",1003_0,41,"Amadora (Estação Norte)","Amadora Este (Metro)",1003,"Amadora (Estação Norte) - Amadora Este (Metro)",1,3,0,"C61D23","FFFFFF"
1004,1004,"Amadora (Estação Norte) | Circular via Moinhos da Funcheira",1004_0,41,"Amadora (Estação Norte)","Amadora (Estação Norte)",1004,"Amadora (Estação Norte) via Moinhos da Funcheira | Circular",1,3,1,"C61D23","FFFFFF"
1005,1005,"Amadora (Estação Norte) - UBBO",1005_0,41,"Amadora (Estação Norte)","Casal Mira (Centro Comercial)",1005,"Amadora (Estação Norte) - UBBO",1,3,0,"C61D23","FFFFFF"
1005,1005,"Amadora (Estação Norte) - UBBO",1005_1,41,"Casal São Brás - Amadora (Estação Norte)","Amadora (Estação Norte)",1005,"Casal São Brás - Amadora (Estação Norte)",3,3,0,"C61D23","FFFFFF"
1005,1005,"Amadora (Estação Norte) - UBBO",1005_2,41,"Amadora (Estação Norte) | Circular madrugada","Amadora (Estação Norte) | Circular madrugada",1005,"Amadora (Estação Norte) | Circular madrugada",3,3,1,"C61D23","FFFFFF"
1006,1006,"Amadora (Estação Norte) - UBBO | Noturna",1006_0,41,"Amadora (Estação Norte)","Casal Mira (Centro Comercial)",1006,"Amadora (Estação Norte) - UBBO | Noturna",1,3,0,"C61D23","FFFFFF"
1006,1006,"Amadora (Estação Norte) - UBBO | Noturna",1006_1,41,"Amadora (Estação Norte)","Moinhos Funcheira (Rotunda)",1006,"Amadora (Estação Norte) - Moinhos Funcheira (Rotunda) | Noturna",3,3,0,"C61D23","FFFFFF"
1008,1008,"Amadora Este (Metro) | Circular",1008_0,41,"Amadora Este (Metro)","Amadora Este (Metro)",1008,"Amadora Este (Metro) | Circular",1,3,1,"3D85C6","FFFFFF"
1009,1009,"Amadora (Hospital) | Circular Via Mina e Venteira",1009_0,41,"Amadora (Hospital)","Amadora (Hospital)",1009,"Amadora (Hospital) Via Mina e Venteira | Circular",1,3,1,"3D85C6","FFFFFF"
1010,1010,"Alfornelos (Metro) - Casal da Mira",1010_0,41,"Alfornelos (Metro)","Casal Mira",1010,"Alfornelos (Metro) - Casal da Mira",1,3,0,"C61D23","FFFFFF"
1011,1011,"Brandoa (Largo) - Reboleira (Metro)",1011_0,41,"Brandoa (Largo)","Reboleira (Metro)",1011,"Brandoa (Largo) - Reboleira (Metro)",1,3,0,"C61D23","FFFFFF"
1011,1011,"Brandoa (Largo) - Reboleira (Metro)",1011_1,41,"Reboleira (Metro)","Reboleira (Metro)",1011,"Brandoa (Largo) - Reboleira (Metro) | Circular",3,3,1,"C61D23","FFFFFF"
1012,1012,"Alfornelos Metro | Circular via Brandoa",1012_0,41,"Brandoa (Largo)","Brandoa (Largo)",1012,"Alfornelos Metro via Brandoa | Circular",1,3,1,"3D85C6","FFFFFF"
1013,1013,"Reboleira (Estação) - Urbanização Sky City via Casas do Lago",1013_0,41,"Reboleira (Estação)","Urbanização Sky city",1013,"Reboleira (Estação) - Urbanização Sky City via Casas do Lago",1,3,0,"C61D23","FFFFFF"
1014,1014,"Amadora (Cemitério) - Vila Chã via Casas do Lago",1014_0,41,"Amadora (Cemitério)","Vila Chã",1014,"Amadora (Cemitério) - Vila Chã via Casas do Lago",1,3,0,"C61D23","FFFFFF"
1015,1015,"Reboleira (Estação) | Circular via Damaia",1015_0,41,"Reboleira (Estação)","Reboleira (Estação)",1015,"Reboleira (Estação) via Damaia | Circular",1,3,1,"3D85C6","FFFFFF"
1101,1101,"Alfragide (Centro Comercial) - Algés (Estação)",1101_0,41,"Alfragide (Centro Comercial)","Algés (Estação)",1101,"Alfragide (Centro Comercial) - Algés (Estação)",1,3,0,"C61D23","FFFFFF"
1101,1101,"Alfragide (Centro Comercial) - Algés (Estação)",1101_1,41,"Alfragide (Centro Comercial)","Algés (Estação)",1101,"Alfragide (Centro Comercial) - Algés (Estação) via Carnaxide Esc. Sec",3,3,0,"C61D23","FFFFFF"
1103,1103,"Algés (Estação) - Queijas (PSP)",1103_0,41,"Algés (Estação)","Queijas (Psp)",1103,"Algés (Estação) - Queijas (PSP)",1,3,0,"C61D23","FFFFFF"
1104,1104,"Algés | Circular via Centro Histórico",1104_0,41,"Algés","Algés",1104,"Algés | Circular via Centro Histórico",1,3,1,"3D85C6","FFFFFF"
1105,1105,"Algés (Estação) - Queluz Baixo (Centro Comercial)",1105_0,41,"Algés (Estação)","Queluz Baixo (Centro Comercial)",1105,"Algés (Estação) - Queluz Baixo (Centro Comercial)",1,3,0,"C61D23","FFFFFF"
1105,1105,"Algés (Estação) - Queluz Baixo (Centro Comercial)",1105_1,41,"Carnaxide (Escola Secundária)","Queluz Baixo (Centro Comercial)",1105,"Carnaxide (Escola Secundária) - Queluz Baixo (Centro Comercial)",3,3,0,"C61D23","FFFFFF"
1106,1106,"Queluz Baixo (Centro Comercial) - Algés (Estação)",1106_0,41,"Queluz Baixo (Centro Comercial)","Algés (Estação)",1106,"Queluz Baixo (Centro Comercial) - Algés (Estação)",1,3,0,"C61D23","FFFFFF"
1106,1106,"Queluz Baixo (Centro Comercial) - Algés (Estação)",1106_1,41,"Algés (Estação)","Queijas (Psp)",1106,"Algés (Estação) - Queijas (PSP)",3,3,0,"C61D23","FFFFFF"
1107,1107,"Algés (Estação) - Queluz Baixo via Queijas",1107_0,41,"Algés (Estação)","Queluz Baixo (Centro Comercial)",1107,"Algés (Estação) - Queluz Baixo via Queijas",1,3,0,"C61D23","FFFFFF"
1108,1108,"Algés - Carnaxide (Parque Suécia) via WTC",1108_0,41,"Algés","Carnaxide",1108,"Algés - Carnaxide (Parque Suécia) via WTC",1,3,0,"C61D23","FFFFFF"
1109,1109,"Carnaxide | Circular via Outurela",1109_0,41,"Carnaxide (Centro Cívico)","Carnaxide (Centro Cívico)",1109,"Carnaxide via Outurela | Circular",1,3,1,"3D85C6","FFFFFF"
1110,1110,"Carnaxide | Circular via Queijas",1110_0,41,"Carnaxide (Centro Cívico)","Carnaxide (Centro Cívico)",1110,"Carnaxide via Queijas | Circular",1,3,1,"C61D23","FFFFFF"
1111,1111,"Massamá-Barcarena (Estação Sul) - Barcarena (Fábrica Pólvora)",1111_0,41,"Massamá - Barcarena (Estação Sul)","Barcarena (Fábrica Pólvora Acesso Sul)",1111,"Massamá-Barcarena (Estação Sul) - Barcarena (Fábrica Pólvora)",1,3,0,"C61D23","FFFFFF"
1113,1113,"Algés (Estação) | Circular via Cruz Quebrada e Linda-a-Velha",1113_0,41,"Algés (Estação)","Algés (Estação)",1113,"Algés (Estação) via Cruz Quebrada e Linda-a-Velha | Circular",1,3,1,"3D85C6","FFFFFF"
1114,1114,"Algés (Estação) | Circular via Linda-a-Velha e Miraflores",1114_0,41,"Algés (Estação)","Algés (Estação)",1114,"Algés (Estação) via Linda-a-Velha e Miraflores | Circular",1,3,1,"3D85C6","FFFFFF"
1115,1115,"Caxias (Ped Italiana) - Lage (Centro)",1115_0,41,"Caxias (Ped Italiana)","Lage (Centro)",1115,"Caxias (Ped Italiana) - Lage (Centro)",1,3,0,"C61D23","FFFFFF"
1115,1115,"Caxias (Ped Italiana) - Lage (Centro)",1115_1,41,"Caxias (Ped Italiana)","Lage (Centro)",1115,"Caxias (Ped Italiana) - Lage (Centro) via Escolas",3,3,0,"C61D23","FFFFFF"
1115,1115,"Caxias (Ped Italiana) - Lage (Centro)",1115_2,41,"Caxias (Estação)","Paço De Arcos (Estação Norte)",1115,"Caxias (Estação) - Paço de Arcos (Estação Norte)",3,3,0,"C61D23","FFFFFF"
1115,1115,"Caxias (Ped Italiana) - Lage (Centro)",1115_3,41,"Caxias (Ped Italiana)","Paço De Arcos (Estação Norte)",1115,"Caxias (Ped Italiana) - Paço de Arcos (Estação Norte)",3,3,0,"C61D23","FFFFFF"
1115,1115,"Caxias (Ped Italiana) - Lage (Centro)",1115_4,41,"Qta Torneiro","Paço De Arcos (Estação Norte)",1115,"Paço de Arcos (Estação Norte) - Qta Torneiro",3,3,0,"C61D23","FFFFFF"
1117,1117,"Caxias (Qta Moura) - Lage (Centro)",1117_0,41,"Caxias (Qta Moura)","Lage (Centro)",1117,"Caxias (Qta Moura) - Lage (Centro)",1,3,0,"C61D23","FFFFFF"
1117,1117,"Caxias (Qta Moura) - Lage (Centro)",1117_1,41,"Caxias (Qta Moura)","Lage (Centro)",1117,"Caxias (Qta Moura) - Lage (Centro) via Escolas",3,3,0,"C61D23","FFFFFF"
1117,1117,"Caxias (Qta Moura) - Lage (Centro)",1117_2,41,"Paço De Arcos (Estação Norte)","Lage (Centro)",1117,"Paço de Arcos (Estação Norte) - Lage (Centro)",3,3,0,"C61D23","FFFFFF"
1117,1117,"Caxias (Qta Moura) - Lage (Centro)",1117_3,41,"Caxias (Qta Moura)","Paço De Arcos (Estação Norte)",1117,"Caxias (Qta Moura) - Paço de Arcos (Estação Norte)",3,3,0,"C61D23","FFFFFF"
