stop_id,stop_id_stepp,stop_code,stop_name,stop_desc,stop_remarks,stop_lat,stop_lon,zone_shift,stop_url,location_type,parent_station,wheelchair_boarding,entrance_restriction,exit_restriction,slot,signalling,shelter,bench,network_map,schedule,real_time_information,tariff,preservation_state,equipment,observations,region,municipality,municipality_fare_1,municipality_fare_2
000100,000100,000100,"QUELUZ BXO (PARQUE)",,,38.74095,-9.2701,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1110,,
000101,000101,000101,"ADROANA (PARQUE)",,,38.7408569999999,-9.38798,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1110,,
000102,000102,000102,"TALAÍDE (PARQUE)",,,38.74053,-9.31359,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1110,,
000103,000103,000103,"BELEM PARQUE",,,38.69575,-9.20468,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1110,,
000104,000104,000104,"CASAL CAMBRA PARQUE LIDL/ALDI",,,38.79651323,-9.22927875,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1110,,
000106,000106,000106,"CORTESIA (Parque Catribana)",,,38.9013655381418,-9.4160279155032,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1110,,
000108,000108,000108,"MIRA SINTRA MERCADO (PARQUE)",,,38.78795969,-9.30389452,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1110,,
000109,000109,000109,"MONTELAVAR (PARQUE)",,,38.86393,-9.33033,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1110,,
000110,000110,000110,"REBOLEIRA PARQUE",,,38.7558443680815,-9.22905035485354,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1110,,
110003,110003,110003,"Rua Major Rosa Bastos (X) Rua Vitor Hugo",,,38.81029505,-9.23383721,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110004,110004,110004,"R M Rosa Bastos (P Combust)",,,38.8103155660037,-9.23435227945447,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110005,110005,110005,"Azinhaga Canhamato 7A (Qta Bretão)",,,38.8128237426281,-9.23429586924613,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110007,110007,110007,"Caneças (Largo Vieira Caldas)",,,38.8129277620465,-9.22852568328381,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110009,110009,110009,"R Major Rosa Bastos (Supermercado)",,,38.8110983278602,-9.23135926946998,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110010,110010,110010,"R Major Rosa Bastos (Supermercado)",,,38.8109877286479,-9.23132658004761,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110013,110013,110013,"R Pinhal Verde 30",,,38.8186739338562,-9.2301407083869,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110014,110014,110014,"R Pinhal Verde 32",,,38.8187913643196,-9.23021648079157,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110015,110015,110015,"R Rontaínhas (Fonte Castanheiros)",,,38.8165941322222,-9.22827053815126,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110017,110017,110017,"R Fonte Castanheiro (Lgo)",,,38.8149988465011,-9.22732019796968,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110019,110019,110019,"Caneças (Bº Maria Teresa)",,,38.8161685829982,-9.23624281771481,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110021,110021,110021,"R Major Rosa Bastos 134 (Caneças)",,,38.8099096901715,-9.23761552199721,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110022,110022,110022,"R Major Rosa Bastos 134 (Caneças)",,,38.8098105741665,-9.23701202496886,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110023,110023,110023,"R Coronel Braz Oliveira 19",,,38.8118739053607,-9.22695835120976,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110024,110024,110024,"R Coronel Braz Oliveira 19",,,38.8119795592502,-9.22703336924314,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110025,110025,110025,"Lgo Vieira Caldas (Casa Cultura)",,,38.8126352755353,-9.22753904946148,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110027,110027,110027,"Lgo Dr Manuel D'Arriaga (Jardim)",,,38.8130160653964,-9.22644278034568,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110029,110029,110029,"R Liberdade 131",,,38.7825285689905,-9.2174862138927,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110030,110030,110030,"R Liberdade 131",,,38.7824897188693,-9.21740767545998,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110031,110031,110031,"R Liberdade 79",,,38.7802483560517,-9.21638080850244,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110032,110032,110032,"R Liberdade 79",,,38.7803298700601,-9.21634334139526,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110033,110033,110033,"R Liberdade 11",,,38.7788011785597,-9.21543725766242,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110035,110035,110035,"R Liberdade 24",,,38.7740578595549,-9.21337991952896,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110037,110037,110037,"R Liberdade 1",,,38.7726425752044,-9.21192993409932,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110039,110039,110039,"R Liberdade 6",,,38.7679819017649,-9.20470389537513,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110041,110041,110041,"R Cidade Horta 15 (Pontinha)",,,38.7663105502725,-9.20124401338398,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110043,110043,110043,"Av S Pedro 3 (Escola)",,,38.7645034538582,-9.20013341121376,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110045,110045,110045,"Pontinha (R Regimento Engenharia Um)",,,38.76509280693068,-9.198136674240232,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110047,110047,110047,"R Sto Eloy 40 (Pontinha)",,,38.76731567957856,-9.20205739326775,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110049,110049,110049,"R Liberdade 11",,,38.7765334127471,-9.2149649374187,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110051,110051,110051,"R Liberdade 111",,,38.7787449778989,-9.21529887244105,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110053,110053,110053,"Presa (X) Casal da Mira",,,38.7840359285474,-9.22002299688756,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110055,110055,110055,"Pça Dr Manuel de Arriaga Fonte",,,38.81289763933798,-9.22687252386527,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110057,110057,110057,"Caneças (Qtª São Carlos)",,,38.8156676912445,-9.22610154264683,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110059,110059,110059,"Pça Dr Manuel de Arriaga 18",,,38.81293659611056,-9.226468739113564,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110061,110061,110061,"Caneças (Escola Secundária)",,,38.8098060951395,-9.23315173946321,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110169,110169,110169,"CASA DA CULTURA",,,38.8125887978822,-9.22716471366584,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
110170,110170,110170,"R Pinhal Verde Fte 5",,,38.81694312597793,-9.22814753168918,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1116,,
000111,000111,000111,"RESTELO PARQUE",,,38.7098464690749,-9.20993740170728,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT170,1110,,
