route_id,pattern_id,pattern_short_name,service_id,trip_id,trip_headsign,direction_id,block_id,start_shift_id,end_shift_id,shape_id,demand,calendar_desc
1003_0,1003_0_1,1003_0_1,1,1003_0_1_0600_0629_0_1,"Amadora Este (Metro)",0,1_1025,1025,1025,4,,""
1003_0,1003_0_1,1003_0_1,14,1003_0_1_0600_0629_0_14,"Amadora Este (Metro)",0,14_14016,14016,14016,4,,""
1003_0,1003_0_1,1003_0_1,3,1003_0_1_0600_0629_0_3,"Amadora Este (Metro)",0,3_3010,3010,3010,4,,""
1003_0,1003_0_1,1003_0_1,4,1003_0_1_0600_0629_0_4,"Amadora Este (Metro)",0,4_4024,4024,4024,4,,""
1003_0,1003_0_1,1003_0_1,6,1003_0_1_0600_0629_0_6,"Amadora Este (Metro)",0,6_6010,6010,6010,4,,""
1003_0,1003_0_1,1003_0_1,7,1003_0_1_0600_0629_0_7,"Amadora Este (Metro)",0,7_7024,7024,7024,4,,""
1003_0,1003_0_1,1003_0_1,7,1003_0_1_2200_2229_1_7,"Amadora Este (Metro)",0,7_7044,7125,7125,4,,""
1003_0,1003_0_1,1003_0_1,6,1003_0_1_2200_2229_0_6,"Amadora Este (Metro)",0,6_6010,6062,6062,4,,""
1003_0,1003_0_1,1003_0_1,7,1003_0_1_2200_2229_0_7,"Amadora Este (Metro)",0,7_7024,7118,7118,4,,""
1003_0,1003_0_1,1003_0_1,8,1003_0_1_2200_2229_0_8,"Amadora Este (Metro)",0,8_8015,8071,8071,4,,""
1003_0,1003_0_1,1003_0_1,9,1003_0_1_2200_2229_0_9,"Amadora Este (Metro)",0,9_9010,9062,9062,4,,""
1003_0,1003_0_1,1003_0_1,1,1003_0_1_2200_2229_1_1,"Amadora Este (Metro)",0,1_1046,1136,1136,4,,""
1003_0,1003_0_1,1003_0_1,4,1003_0_1_2200_2229_1_4,"Amadora Este (Metro)",0,4_4044,4125,4125,4,,""
1003_0,1003_0_1,1003_0_1,14,1003_0_1_2200_2229_0_14,"Amadora Este (Metro)",0,14_14030,14100,14100,4,,""
1003_0,1003_0_1,1003_0_1,2,1003_0_1_2200_2229_0_2,"Amadora Este (Metro)",0,2_2015,2071,2071,4,,""
1003_0,1003_0_1,1003_0_1,3,1003_0_1_2200_2229_0_3,"Amadora Este (Metro)",0,3_3010,3062,3062,4,,""
1003_0,1003_0_1,1003_0_1,36,1003_0_1_2200_2229_0_36,"Amadora Este (Metro)",0,36_36009,36050,36050,4,,""
1003_0,1003_0_1,1003_0_1,4,1003_0_1_2200_2229_0_4,"Amadora Este (Metro)",0,4_4024,4118,4118,4,,""
1003_0,1003_0_1,1003_0_1,5,1003_0_1_2200_2229_0_5,"Amadora Este (Metro)",0,5_5015,5071,5071,4,,""
1003_0,1003_0_1,1003_0_1,4,1003_0_1_2130_2159_0_4,"Amadora Este (Metro)",0,4_4044,4125,4125,4,,""
1003_0,1003_0_1,1003_0_1,5,1003_0_1_2130_2159_0_5,"Amadora Este (Metro)",0,5_5015,5071,5071,4,,""
1003_0,1003_0_1,1003_0_1,7,1003_0_1_2130_2159_0_7,"Amadora Este (Metro)",0,7_7044,7125,7125,4,,""
1003_0,1003_0_1,1003_0_1,8,1003_0_1_2130_2159_0_8,"Amadora Este (Metro)",0,8_8015,8071,8071,4,,""
1003_0,1003_0_1,1003_0_1,14,1003_0_1_2130_2159_1_14,"Amadora Este (Metro)",0,14_14016,14089,14089,4,,""
1003_0,1003_0_1,1003_0_1,1,1003_0_1_2200_2229_0_1,"Amadora Este (Metro)",0,1_1025,1131,1131,4,,""
1003_0,1003_0_1,1003_0_1,1,1003_0_1_2100_2129_1_1,"Amadora Este (Metro)",0,1_1025,1131,1131,4,,""
1003_0,1003_0_1,1003_0_1,4,1003_0_1_2100_2129_1_4,"Amadora Este (Metro)",0,4_4024,4118,4118,4,,""
1003_0,1003_0_1,1003_0_1,7,1003_0_1_2100_2129_1_7,"Amadora Este (Metro)",0,7_7024,7118,7118,4,,""
1003_0,1003_0_1,1003_0_1,1,1003_0_1_2130_2159_0_1,"Amadora Este (Metro)",0,1_1046,1136,1136,4,,""
1003_0,1003_0_1,1003_0_1,14,1003_0_1_2130_2159_0_14,"Amadora Este (Metro)",0,14_14030,14100,14100,4,,""
1003_0,1003_0_1,1003_0_1,2,1003_0_1_2130_2159_0_2,"Amadora Este (Metro)",0,2_2015,2071,2071,4,,""
1003_0,1003_0_1,1003_0_1,3,1003_0_1_2100_2129_0_3,"Amadora Este (Metro)",0,3_3010,3062,3062,4,,""
1003_0,1003_0_1,1003_0_1,36,1003_0_1_2100_2129_0_36,"Amadora Este (Metro)",0,36_36009,36050,36050,4,,""
1003_0,1003_0_1,1003_0_1,4,1003_0_1_2100_2129_0_4,"Amadora Este (Metro)",0,4_4044,4125,4125,4,,""
1003_0,1003_0_1,1003_0_1,6,1003_0_1_2100_2129_0_6,"Amadora Este (Metro)",0,6_6010,6062,6062,4,,""
1003_0,1003_0_1,1003_0_1,7,1003_0_1_2100_2129_0_7,"Amadora Este (Metro)",0,7_7044,7125,7125,4,,""
1003_0,1003_0_1,1003_0_1,9,1003_0_1_2100_2129_0_9,"Amadora Este (Metro)",0,9_9010,9062,9062,4,,""
1003_0,1003_0_1,1003_0_1,5,1003_0_1_2030_2059_0_5,"Amadora Este (Metro)",0,5_5015,5071,5071,4,,""
1003_0,1003_0_1,1003_0_1,7,1003_0_1_2030_2059_0_7,"Amadora Este (Metro)",0,7_7024,7113,7113,4,,""
1003_0,1003_0_1,1003_0_1,8,1003_0_1_2030_2059_0_8,"Amadora Este (Metro)",0,8_8015,8071,8071,4,,""
1003_0,1003_0_1,1003_0_1,14,1003_0_1_2030_2059_1_14,"Amadora Este (Metro)",0,14_14030,14100,14100,4,,""
1003_0,1003_0_1,1003_0_1,1,1003_0_1_2100_2129_0_1,"Amadora Este (Metro)",0,1_1046,1136,1136,4,,""
1003_0,1003_0_1,1003_0_1,14,1003_0_1_2100_2129_0_14,"Amadora Este (Metro)",0,14_14016,14089,14089,4,,""
1003_0,1003_0_1,1003_0_1,9,1003_0_1_2000_2029_0_9,"Amadora Este (Metro)",0,9_9010,9041,9041,4,,""
