block_id,agency_id,registration_date,available_seats,available_standing,typology,vclass,propulsion,emission,lowered_floor
00000-12,42,20250922,0,0,3,2,0,0,0
00000-13,42,20250922,0,0,3,2,0,0,0
00000-21,42,20250922,0,0,3,2,0,0,0
00000-22,42,20250922,0,0,3,2,0,0,0
00000-23,42,20250922,0,0,3,2,0,0,0
0000-12,42,20250922,0,0,3,2,0,0,0
0000-13,42,20250922,0,0,3,2,0,0,0
0000-21,42,20250922,0,0,3,2,0,0,0
0000-22,42,20250922,0,0,3,2,0,0,0
0000-23,42,20250922,0,0,3,2,0,0,0
0000-31,42,20250922,0,0,3,2,0,0,0
0000-32,42,20250922,0,0,3,2,0,0,0
0000-33,42,20250922,0,0,3,2,0,0,0
000-12,42,20250922,0,0,3,2,0,0,0
000-13,42,20250922,0,0,3,2,0,0,0
000-21,42,20250922,0,0,3,2,0,0,0
000-22,42,20250922,0,0,3,2,0,0,0
000-23,42,20250922,0,0,3,2,0,0,0
000-31,42,20250922,0,0,3,2,0,0,0
000-32,42,20250922,0,0,3,2,0,0,0
000-33,42,20250922,0,0,3,2,0,0,0
00-12,42,20250922,0,0,3,2,0,0,0
00-13,42,20250922,0,0,3,2,0,0,0
00-21,42,20250922,0,0,3,2,0,0,0
00-22,42,20250922,0,0,3,2,0,0,0
00-23,42,20250922,0,0,3,2,0,0,0
00-31,42,20250922,0,0,3,2,0,0,0
00-32,42,20250922,0,0,3,2,0,0,0
00-33,42,20250922,0,0,3,2,0,0,0
0-12,42,20250922,0,0,3,2,0,0,0
0-13,42,20250922,0,0,3,2,0,0,0
0-21,42,20250922,0,0,3,2,0,0,0
0-22,42,20250922,0,0,3,2,0,0,0
0-23,42,20250922,0,0,3,2,0,0,0
0-31,42,20250922,0,0,2,2,0,0,0
0-32,42,20250922,0,0,2,2,0,0,0
0-33,42,20250922,0,0,2,2,0,0,0
1_PE-1101,42,20250922,0,0,0,0,0,0,0
1_PE-1201,42,20250922,0,0,0,0,0,0,0
1_PE-1301,42,20250922,0,0,0,0,0,0,0
1_PE-1401,42,20250922,0,0,0,0,0,0,0
1_PE-1501,42,20250922,0,0,0,0,0,0,0
1_PE2_M-1105,42,20250922,0,0,0,0,0,0,0
1_PE2_M-1205,42,20250922,0,0,0,0,0,0,0
1_PE2_M-1305,42,20250922,0,0,0,0,0,0,0
1_PE2_M-1405,42,20250922,0,0,0,0,0,0,0
1_PE2_M-1505,42,20250922,0,0,0,0,0,0,0
1_PNE-1102,42,20250922,0,0,0,0,0,0,0
1_PNE-1202,42,20250922,0,0,0,0,0,0,0
1_PNE-1302,42,20250922,0,0,0,0,0,0,0
1_PNE-1402,42,20250922,0,0,0,0,0,0,0
1_PNE-1502,42,20250922,0,0,0,0,0,0,0
1_VERAO-1103,42,20250922,0,0,0,0,0,0,0
1_VERAO-1203,42,20250922,0,0,0,0,0,0,0
1_VERAO-1303,42,20250922,0,0,0,0,0,0,0
1_VERAO-1403,42,20250922,0,0,0,0,0,0,0
1_VERAO-1503,42,20250922,0,0,0,0,0,0,0
10_PE-1101,42,20250922,0,0,0,0,0,0,0
10_PE-1201,42,20250922,0,0,0,0,0,0,0
10_PE-1301,42,20250922,0,0,0,0,0,0,0
10_PE-1401,42,20250922,0,0,0,0,0,0,0
10_PE-1501,42,20250922,0,0,0,0,0,0,0
10_PE2-1105,42,20250922,0,0,0,0,0,0,0
10_PE2-1205,42,20250922,0,0,0,0,0,0,0
10_PE2-1305,42,20250922,0,0,0,0,0,0,0
10_PE2-1405,42,20250922,0,0,0,0,0,0,0
10_PE2-1505,42,20250922,0,0,0,0,0,0,0
10_PNE-1102,42,20250922,0,0,0,0,0,0,0
10_PNE-1202,42,20250922,0,0,0,0,0,0,0
10_PNE-1302,42,20250922,0,0,0,0,0,0,0
10_PNE-1402,42,20250922,0,0,0,0,0,0,0
10_PNE-1502,42,20250922,0,0,0,0,0,0,0
10_VERAO-1103,42,20250922,0,0,0,0,0,0,0
10_VERAO-1203,42,20250922,0,0,0,0,0,0,0
10_VERAO-1303,42,20250922,0,0,0,0,0,0,0
10_VERAO-1403,42,20250922,0,0,0,0,0,0,0
10_VERAO-1503,42,20250922,0,0,0,0,0,0,0
1001_PE2_PNE-1111,42,20250922,0,0,0,0,0,0,0
1001_PE2_PNE-1211,42,20250922,0,0,0,0,0,0,0
1001_PE2_PNE-1312,42,20250922,0,0,0,0,0,0,0
1001_PE2_PNE-1411,42,20250922,0,0,0,0,0,0,0
1001_PE2_PNE-1412,42,20250922,0,0,0,0,0,0,0
1001_PE2_PNE-1511,42,20250922,0,0,0,0,0,0,0
1001_PE2_PNE-1512,42,20250922,0,0,0,0,0,0,0
1001_PE2_PNE-1611,42,20250922,0,0,0,0,0,0,0
1001_PE2_PNE-1701,42,20250922,0,0,0,0,0,0,0
1001_PE2_PNE-1702,42,20250922,0,0,0,0,0,0,0
1001_PE2_PNE-1711,42,20250922,0,0,0,0,0,0,0
1001_PE2_PNE-1712,42,20250922,0,0,0,0,0,0,0
1001_VERAO-1513,42,20250922,0,0,0,0,0,0,0
1001_VERAO-1703,42,20250922,0,0,0,0,0,0,0
1001-11,42,20250922,0,0,1,1,0,0,0
1002_PE2_PNE-1111,42,20250922,0,0,0,0,0,0,0
1002_PE2_PNE-1211,42,20250922,0,0,0,0,0,0,0
1002_PE2_PNE-1312,42,20250922,0,0,0,0,0,0,0
1002_PE2_PNE-1411,42,20250922,0,0,0,0,0,0,0
1002_PE2_PNE-1412,42,20250922,0,0,0,0,0,0,0
1002_PE2_PNE-1511,42,20250922,0,0,0,0,0,0,0
1002_PE2_PNE-1512,42,20250922,0,0,0,0,0,0,0
1002_PE2_PNE-1611,42,20250922,0,0,0,0,0,0,0
1002_PE2_PNE-1701,42,20250922,0,0,0,0,0,0,0
1002_PE2_PNE-1702,42,20250922,0,0,0,0,0,0,0
1002_PE2_PNE-1711,42,20250922,0,0,0,0,0,0,0
1002_PE2_PNE-1712,42,20250922,0,0,0,0,0,0,0
1002_VERAO-1513,42,20250922,0,0,0,0,0,0,0
1002_VERAO-1703,42,20250922,0,0,0,0,0,0,0
1002-11,42,20250922,0,0,1,1,0,0,0
1003_PE2_PNE-1111,42,20250922,0,0,0,0,0,0,0
1003_PE2_PNE-1211,42,20250922,0,0,0,0,0,0,0
1003_PE2_PNE-1312,42,20250922,0,0,0,0,0,0,0
1003_PE2_PNE-1411,42,20250922,0,0,0,0,0,0,0
1003_PE2_PNE-1412,42,20250922,0,0,0,0,0,0,0
1003_PE2_PNE-1511,42,20250922,0,0,0,0,0,0,0
1003_PE2_PNE-1512,42,20250922,0,0,0,0,0,0,0
1003_PE2_PNE-1611,42,20250922,0,0,0,0,0,0,0
1003_PE2_PNE-1701,42,20250922,0,0,0,0,0,0,0
1003_PE2_PNE-1702,42,20250922,0,0,0,0,0,0,0
1003_PE2_PNE-1711,42,20250922,0,0,0,0,0,0,0
1003_PE2_PNE-1712,42,20250922,0,0,0,0,0,0,0
1003_VERAO-1513,42,20250922,0,0,0,0,0,0,0
1003_VERAO-1703,42,20250922,0,0,0,0,0,0,0
1003-11,42,20250922,0,0,1,1,0,0,0
1004_PE2_PNE-1111,42,20250922,0,0,0,0,0,0,0
1004_PE2_PNE-1211,42,20250922,0,0,0,0,0,0,0
1004_PE2_PNE-1312,42,20250922,0,0,0,0,0,0,0
