service_id,holiday,period,day_type,date,exception_type
1312,1,2,3,20250101,1
32,1,2,3,20250101,1
12,0,2,1,20250102,1
1402,0,2,1,20250102,1
12,0,2,1,20250103,1
1502,0,2,1,20250103,1
1602,0,2,2,20250104,1
22,0,2,2,20250104,1
1702,0,2,3,20250105,1
32,0,2,3,20250105,1
11,0,1,1,20250106,1
1101,0,1,1,20250106,1
11,0,1,1,20250107,1
1201,0,1,1,20250107,1
11,0,1,1,20250108,1
1301,0,1,1,20250108,1
11,0,1,1,20250109,1
1401,0,1,1,20250109,1
11,0,1,1,20250110,1
1501,0,1,1,20250110,1
1601,0,1,2,20250111,1
21,0,1,2,20250111,1
1701,0,1,3,20250112,1
31,0,1,3,20250112,1
11,0,1,1,20250113,1
1101,0,1,1,20250113,1
11,0,1,1,20250114,1
1201,0,1,1,20250114,1
11,0,1,1,20250115,1
1301,0,1,1,20250115,1
11,0,1,1,20250116,1
1401,0,1,1,20250116,1
11,0,1,1,20250117,1
1501,0,1,1,20250117,1
1601,0,1,2,20250118,1
21,0,1,2,20250118,1
1701,0,1,3,20250119,1
31,0,1,3,20250119,1
11,0,1,1,20250120,1
1101,0,1,1,20250120,1
11,0,1,1,20250121,1
1201,0,1,1,20250121,1
11,0,1,1,20250122,1
1301,0,1,1,20250122,1
11,0,1,1,20250123,1
1401,0,1,1,20250123,1
11,0,1,1,20250124,1
1501,0,1,1,20250124,1
1601,0,1,2,20250125,1
21,0,1,2,20250125,1
1701,0,1,3,20250126,1
31,0,1,3,20250126,1
11,0,1,1,20250127,1
1101,0,1,1,20250127,1
11,0,1,1,20250128,1
1201,0,1,1,20250128,1
11,0,1,1,20250129,1
1301,0,1,1,20250129,1
11,0,1,1,20250130,1
1401,0,1,1,20250130,1
11,0,1,1,20250131,1
1501,0,1,1,20250131,1
1601,0,1,2,20250201,1
21,0,1,2,20250201,1
1701,0,1,3,20250202,1
31,0,1,3,20250202,1
11,0,1,1,20250203,1
1101,0,1,1,20250203,1
11,0,1,1,20250204,1
1201,0,1,1,20250204,1
11,0,1,1,20250205,1
1301,0,1,1,20250205,1
11,0,1,1,20250206,1
1401,0,1,1,20250206,1
11,0,1,1,20250207,1
1501,0,1,1,20250207,1
1601,0,1,2,20250208,1
21,0,1,2,20250208,1
1701,0,1,3,20250209,1
31,0,1,3,20250209,1
11,0,1,1,20250210,1
1101,0,1,1,20250210,1
11,0,1,1,20250211,1
1201,0,1,1,20250211,1
11,0,1,1,20250212,1
1301,0,1,1,20250212,1
11,0,1,1,20250213,1
1401,0,1,1,20250213,1
11,0,1,1,20250214,1
1501,0,1,1,20250214,1
1601,0,1,2,20250215,1
21,0,1,2,20250215,1
1701,0,1,3,20250216,1
31,0,1,3,20250216,1
11,0,1,1,20250217,1
1101,0,1,1,20250217,1
11,0,1,1,20250218,1
1201,0,1,1,20250218,1
11,0,1,1,20250219,1
1301,0,1,1,20250219,1
11,0,1,1,20250220,1
1401,0,1,1,20250220,1
11,0,1,1,20250221,1
1501,0,1,1,20250221,1
1601,0,1,2,20250222,1
21,0,1,2,20250222,1
1701,0,1,3,20250223,1
31,0,1,3,20250223,1
11,0,1,1,20250224,1
1101,0,1,1,20250224,1
11,0,1,1,20250225,1
1201,0,1,1,20250225,1
11,0,1,1,20250226,1
1301,0,1,1,20250226,1
11,0,1,1,20250227,1
1401,0,1,1,20250227,1
11,0,1,1,20250228,1
1501,0,1,1,20250228,1
1601,0,1,2,20250301,1
21,0,1,2,20250301,1
1701,0,1,3,20250302,1
31,0,1,3,20250302,1
11,0,1,1,20250303,1
1105,0,1,1,20250303,1
1204,0,2,1,20250304,1
21,0,2,1,20250304,1
11,0,1,1,20250305,1
1305,0,1,1,20250305,1
11,0,1,1,20250306,1
1401,0,1,1,20250306,1
11,0,1,1,20250307,1
1501,0,1,1,20250307,1
1601,0,1,2,20250308,1
21,0,1,2,20250308,1
1701,0,1,3,20250309,1
31,0,1,3,20250309,1
11,0,1,1,20250310,1
1101,0,1,1,20250310,1
11,0,1,1,20250311,1
1201,0,1,1,20250311,1
11,0,1,1,20250312,1
1301,0,1,1,20250312,1
11,0,1,1,20250313,1
1401,0,1,1,20250313,1
11,0,1,1,20250314,1
1501,0,1,1,20250314,1
1601,0,1,2,20250315,1
21,0,1,2,20250315,1
1701,0,1,3,20250316,1
31,0,1,3,20250316,1
11,0,1,1,20250317,1
1101,0,1,1,20250317,1
11,0,1,1,20250318,1
1201,0,1,1,20250318,1
11,0,1,1,20250319,1
1301,0,1,1,20250319,1
11,0,1,1,20250320,1
1401,0,1,1,20250320,1
11,0,1,1,20250321,1
1501,0,1,1,20250321,1
1601,0,1,2,20250322,1
21,0,1,2,20250322,1
1701,0,1,3,20250323,1
31,0,1,3,20250323,1
11,0,1,1,20250324,1
1101,0,1,1,20250324,1
11,0,1,1,20250325,1
1201,0,1,1,20250325,1
11,0,1,1,20250326,1
1301,0,1,1,20250326,1
11,0,1,1,20250327,1
1401,0,1,1,20250327,1
11,0,1,1,20250328,1
1501,0,1,1,20250328,1
1601,0,1,2,20250329,1
21,0,1,2,20250329,1
1701,0,1,3,20250330,1
31,0,1,3,20250330,1
11,0,1,1,20250331,1
1101,0,1,1,20250331,1
11,0,1,1,20250401,1
1201,0,1,1,20250401,1
11,0,1,1,20250402,1
1301,0,1,1,20250402,1
11,0,1,1,20250403,1
1401,0,1,1,20250403,1
11,0,1,1,20250404,1
1501,0,1,1,20250404,1
1601,0,1,2,20250405,1
21,0,1,2,20250405,1
1701,0,1,3,20250406,1
31,0,1,3,20250406,1
11,0,1,1,20250407,1
1105,0,1,1,20250407,1
11,0,1,1,20250408,1
1205,0,1,1,20250408,1
11,0,1,1,20250409,1
1305,0,1,1,20250409,1
11,0,1,1,20250410,1
1405,0,1,1,20250410,1
11,0,1,1,20250411,1
1505,0,1,1,20250411,1
1602,0,2,2,20250412,1
22,0,2,2,20250412,1
1702,0,2,3,20250413,1
32,0,2,3,20250413,1
1102,0,2,1,20250414,1
12,0,2,1,20250414,1
12,0,2,1,20250415,1
1202,0,2,1,20250415,1
12,0,2,1,20250416,1
1302,0,2,1,20250416,1
12,0,2,1,20250417,1
1402,0,2,1,20250417,1
1512,1,2,3,20250418,1
32,1,2,3,20250418,1
1602,0,2,2,20250419,1
22,0,2,2,20250419,1
1712,1,2,3,20250420,1
32,1,2,3,20250420,1
11,0,1,1,20250421,1
1105,0,1,1,20250421,1
11,0,1,1,20250422,1
1201,0,1,1,20250422,1
11,0,1,1,20250423,1
1301,0,1,1,20250423,1
11,0,1,1,20250424,1
1401,0,1,1,20250424,1
1511,1,1,3,20250425,1
31,1,1,3,20250425,1
1601,0,1,2,20250426,1
21,0,1,2,20250426,1
1701,0,1,3,20250427,1
31,0,1,3,20250427,1
11,0,1,1,20250428,1
1101,0,1,1,20250428,1
11,0,1,1,20250429,1
1201,0,1,1,20250429,1
11,0,1,1,20250430,1
1301,0,1,1,20250430,1
1411,1,1,3,20250501,1
31,1,1,3,20250501,1
11,0,1,1,20250502,1
1501,0,1,1,20250502,1
1601,0,1,2,20250503,1
21,0,1,2,20250503,1
1701,0,1,3,20250504,1
31,0,1,3,20250504,1
11,0,1,1,20250505,1
1101,0,1,1,20250505,1
11,0,1,1,20250506,1
1201,0,1,1,20250506,1
11,0,1,1,20250507,1
1301,0,1,1,20250507,1
11,0,1,1,20250508,1
1401,0,1,1,20250508,1
11,0,1,1,20250509,1
1501,0,1,1,20250509,1
1601,0,1,2,20250510,1
21,0,1,2,20250510,1
1701,0,1,3,20250511,1
31,0,1,3,20250511,1
11,0,1,1,20250512,1
1101,0,1,1,20250512,1
11,0,1,1,20250513,1
1201,0,1,1,20250513,1
11,0,1,1,20250514,1
1301,0,1,1,20250514,1
11,0,1,1,20250515,1
1401,0,1,1,20250515,1
11,0,1,1,20250516,1
1501,0,1,1,20250516,1
1601,0,1,2,20250517,1
21,0,1,2,20250517,1
1701,0,1,3,20250518,1
31,0,1,3,20250518,1
11,0,1,1,20250519,1
1101,0,1,1,20250519,1
11,0,1,1,20250520,1
1201,0,1,1,20250520,1
11,0,1,1,20250521,1
1301,0,1,1,20250521,1
11,0,1,1,20250522,1
1401,0,1,1,20250522,1
11,0,1,1,20250523,1
1501,0,1,1,20250523,1
1601,0,1,2,20250524,1
21,0,1,2,20250524,1
1701,0,1,3,20250525,1
31,0,1,3,20250525,1
11,0,1,1,20250526,1
1101,0,1,1,20250526,1
11,0,1,1,20250527,1
1201,0,1,1,20250527,1
11,0,1,1,20250528,1
1301,0,1,1,20250528,1
11,0,1,1,20250529,1
1405,0,1,1,20250529,1
11,0,1,1,20250530,1
1501,0,1,1,20250530,1
1601,0,1,2,20250531,1
21,0,1,2,20250531,1
1701,0,1,3,20250601,1
31,0,1,3,20250601,1
11,0,1,1,20250602,1
1101,0,1,1,20250602,1
11,0,1,1,20250603,1
1201,0,1,1,20250603,1
11,0,1,1,20250604,1
1301,0,1,1,20250604,1
11,0,1,1,20250605,1
1401,0,1,1,20250605,1
11,0,1,1,20250606,1
1501,0,1,1,20250606,1
1601,0,1,2,20250607,1
21,0,1,2,20250607,1
1701,0,1,3,20250608,1
31,0,1,3,20250608,1
11,0,1,1,20250609,1
1101,0,1,1,20250609,1
1211,1,1,3,20250610,1
31,1,1,3,20250610,1
11,0,1,1,20250611,1
1301,0,1,1,20250611,1
11,0,1,1,20250612,1
1401,0,1,1,20250612,1
11,0,1,1,20250613,1
1501,0,1,1,20250613,1
1601,0,1,2,20250614,1
21,0,1,2,20250614,1
1701,0,1,3,20250615,1
31,0,1,3,20250615,1
11,0,1,1,20250616,1
1105,0,1,1,20250616,1
11,0,1,1,20250617,1
1205,0,1,1,20250617,1
11,0,1,1,20250618,1
1305,0,1,1,20250618,1
1411,1,1,3,20250619,1
31,1,1,3,20250619,1
11,0,1,1,20250620,1
1505,0,1,1,20250620,1
1601,0,1,2,20250621,1
21,0,1,2,20250621,1
1701,0,1,3,20250622,1
31,0,1,3,20250622,1
11,0,1,1,20250623,1
1105,0,1,1,20250623,1
11,0,1,1,20250624,1
1205,0,1,1,20250624,1
11,0,1,1,20250625,1
1305,0,1,1,20250625,1
11,0,1,1,20250626,1
1405,0,1,1,20250626,1
11,0,1,1,20250627,1
1505,0,1,1,20250627,1
1601,0,1,2,20250628,1
21,0,1,2,20250628,1
1701,0,1,3,20250629,1
31,0,1,3,20250629,1
1103,0,3,1,20250630,1
13,0,3,1,20250630,1
1203,0,3,1,20250701,1
13,0,3,1,20250701,1
13,0,3,1,20250702,1
1303,0,3,1,20250702,1
13,0,3,1,20250703,1
1403,0,3,1,20250703,1
13,0,3,1,20250704,1
1503,0,3,1,20250704,1
1603,0,3,2,20250705,1
23,0,3,2,20250705,1
1703,0,3,3,20250706,1
33,0,3,3,20250706,1
1103,0,3,1,20250707,1
13,0,3,1,20250707,1
1203,0,3,1,20250708,1
13,0,3,1,20250708,1
13,0,3,1,20250709,1
1303,0,3,1,20250709,1
13,0,3,1,20250710,1
1403,0,3,1,20250710,1
13,0,3,1,20250711,1
1503,0,3,1,20250711,1
1603,0,3,2,20250712,1
23,0,3,2,20250712,1
1703,0,3,3,20250713,1
33,0,3,3,20250713,1
1103,0,3,1,20250714,1
13,0,3,1,20250714,1
1203,0,3,1,20250715,1
13,0,3,1,20250715,1
13,0,3,1,20250716,1
1303,0,3,1,20250716,1
13,0,3,1,20250717,1
1403,0,3,1,20250717,1
13,0,3,1,20250718,1
1503,0,3,1,20250718,1
1603,0,3,2,20250719,1
23,0,3,2,20250719,1
1703,0,3,3,20250720,1
33,0,3,3,20250720,1
1103,0,3,1,20250721,1
13,0,3,1,20250721,1
1203,0,3,1,20250722,1
13,0,3,1,20250722,1
13,0,3,1,20250723,1
1303,0,3,1,20250723,1
13,0,3,1,20250724,1
1403,0,3,1,20250724,1
13,0,3,1,20250725,1
1503,0,3,1,20250725,1
1603,0,3,2,20250726,1
23,0,3,2,20250726,1
1703,0,3,3,20250727,1
33,0,3,3,20250727,1
1103,0,3,1,20250728,1
13,0,3,1,20250728,1
1203,0,3,1,20250729,1
13,0,3,1,20250729,1
13,0,3,1,20250730,1
1303,0,3,1,20250730,1
13,0,3,1,20250731,1
1403,0,3,1,20250731,1
13,0,3,1,20250801,1
1503,0,3,1,20250801,1
1603,0,3,2,20250802,1
23,0,3,2,20250802,1
1703,0,3,3,20250803,1
33,0,3,3,20250803,1
1103,0,3,1,20250804,1
13,0,3,1,20250804,1
1203,0,3,1,20250805,1
13,0,3,1,20250805,1
13,0,3,1,20250806,1
1303,0,3,1,20250806,1
13,0,3,1,20250807,1
1403,0,3,1,20250807,1
13,0,3,1,20250808,1
1503,0,3,1,20250808,1
1603,0,3,2,20250809,1
23,0,3,2,20250809,1
1703,0,3,3,20250810,1
33,0,3,3,20250810,1
1103,0,3,1,20250811,1
13,0,3,1,20250811,1
1203,0,3,1,20250812,1
13,0,3,1,20250812,1
13,0,3,1,20250813,1
1303,0,3,1,20250813,1
13,0,3,1,20250814,1
1403,0,3,1,20250814,1
1513,1,3,3,20250815,1
33,1,3,3,20250815,1
1603,0,3,2,20250816,1
23,0,3,2,20250816,1
1703,0,3,3,20250817,1
33,0,3,3,20250817,1
1103,0,3,1,20250818,1
13,0,3,1,20250818,1
1203,0,3,1,20250819,1
13,0,3,1,20250819,1
13,0,3,1,20250820,1
1303,0,3,1,20250820,1
13,0,3,1,20250821,1
1403,0,3,1,20250821,1
13,0,3,1,20250822,1
1503,0,3,1,20250822,1
1603,0,3,2,20250823,1
23,0,3,2,20250823,1
1703,0,3,3,20250824,1
33,0,3,3,20250824,1
1103,0,3,1,20250825,1
13,0,3,1,20250825,1
1203,0,3,1,20250826,1
13,0,3,1,20250826,1
13,0,3,1,20250827,1
1303,0,3,1,20250827,1
13,0,3,1,20250828,1
1403,0,3,1,20250828,1
13,0,3,1,20250829,1
1503,0,3,1,20250829,1
1603,0,3,2,20250830,1
23,0,3,2,20250830,1
1703,0,3,3,20250831,1
33,0,3,3,20250831,1
1102,0,2,1,20250901,1
12,0,2,1,20250901,1
12,0,2,1,20250902,1
1202,0,2,1,20250902,1
12,0,2,1,20250903,1
1302,0,2,1,20250903,1
12,0,2,1,20250904,1
1402,0,2,1,20250904,1
12,0,2,1,20250905,1
1502,0,2,1,20250905,1
1602,0,2,2,20250906,1
22,0,2,2,20250906,1
1702,0,2,3,20250907,1
32,0,2,3,20250907,1
1102,0,2,1,20250908,1
12,0,2,1,20250908,1
12,0,2,1,20250909,1
1202,0,2,1,20250909,1
12,0,2,1,20250910,1
1302,0,2,1,20250910,1
11,0,1,1,20250911,1
1405,0,1,1,20250911,1
11,0,1,1,20250912,1
1501,0,1,1,20250912,1
1601,0,1,2,20250913,1
21,0,1,2,20250913,1
1701,0,1,3,20250914,1
31,0,1,3,20250914,1
11,0,1,1,20250915,1
1101,0,1,1,20250915,1
11,0,1,1,20250916,1
1201,0,1,1,20250916,1
11,0,1,1,20250917,1
1301,0,1,1,20250917,1
11,0,1,1,20250918,1
1401,0,1,1,20250918,1
11,0,1,1,20250919,1
1501,0,1,1,20250919,1
1601,0,1,2,20250920,1
21,0,1,2,20250920,1
1701,0,1,3,20250921,1
31,0,1,3,20250921,1
11,0,1,1,20250922,1
1101,0,1,1,20250922,1
11,0,1,1,20250923,1
1201,0,1,1,20250923,1
11,0,1,1,20250924,1
1301,0,1,1,20250924,1
11,0,1,1,20250925,1
1401,0,1,1,20250925,1
11,0,1,1,20250926,1
1501,0,1,1,20250926,1
1601,0,1,2,20250927,1
21,0,1,2,20250927,1
1701,0,1,3,20250928,1
31,0,1,3,20250928,1
11,0,1,1,20250929,1
1101,0,1,1,20250929,1
11,0,1,1,20250930,1
1201,0,1,1,20250930,1
11,0,1,1,20251001,1
1301,0,1,1,20251001,1
11,0,1,1,20251002,1
1401,0,1,1,20251002,1
11,0,1,1,20251003,1
1501,0,1,1,20251003,1
1601,0,1,2,20251004,1
21,0,1,2,20251004,1
1711,1,1,3,20251005,1
31,1,1,3,20251005,1
11,0,1,1,20251006,1
1101,0,1,1,20251006,1
11,0,1,1,20251007,1
1201,0,1,1,20251007,1
11,0,1,1,20251008,1
1301,0,1,1,20251008,1
11,0,1,1,20251009,1
1401,0,1,1,20251009,1
11,0,1,1,20251010,1
1501,0,1,1,20251010,1
1601,0,1,2,20251011,1
21,0,1,2,20251011,1
1701,0,1,3,20251012,1
31,0,1,3,20251012,1
11,0,1,1,20251013,1
1101,0,1,1,20251013,1
11,0,1,1,20251014,1
1201,0,1,1,20251014,1
11,0,1,1,20251015,1
1301,0,1,1,20251015,1
11,0,1,1,20251016,1
1401,0,1,1,20251016,1
11,0,1,1,20251017,1
1501,0,1,1,20251017,1
1601,0,1,2,20251018,1
21,0,1,2,20251018,1
1701,0,1,3,20251019,1
31,0,1,3,20251019,1
11,0,1,1,20251020,1
1101,0,1,1,20251020,1
11,0,1,1,20251021,1
1201,0,1,1,20251021,1
11,0,1,1,20251022,1
1301,0,1,1,20251022,1
11,0,1,1,20251023,1
1401,0,1,1,20251023,1
11,0,1,1,20251024,1
1501,0,1,1,20251024,1
1601,0,1,2,20251025,1
21,0,1,2,20251025,1
1701,0,1,3,20251026,1
31,0,1,3,20251026,1
11,0,1,1,20251027,1
1101,0,1,1,20251027,1
11,0,1,1,20251028,1
1201,0,1,1,20251028,1
11,0,1,1,20251029,1
1301,0,1,1,20251029,1
11,0,1,1,20251030,1
1401,0,1,1,20251030,1
11,0,1,1,20251031,1
1501,0,1,1,20251031,1
1611,1,1,3,20251101,1
31,1,1,3,20251101,1
1701,0,1,3,20251102,1
31,0,1,3,20251102,1
11,0,1,1,20251103,1
1101,0,1,1,20251103,1
11,0,1,1,20251104,1
1201,0,1,1,20251104,1
11,0,1,1,20251105,1
1301,0,1,1,20251105,1
11,0,1,1,20251106,1
1401,0,1,1,20251106,1
11,0,1,1,20251107,1
1501,0,1,1,20251107,1
1601,0,1,2,20251108,1
21,0,1,2,20251108,1
1701,0,1,3,20251109,1
31,0,1,3,20251109,1
11,0,1,1,20251110,1
1101,0,1,1,20251110,1
11,0,1,1,20251111,1
1201,0,1,1,20251111,1
11,0,1,1,20251112,1
1301,0,1,1,20251112,1
11,0,1,1,20251113,1
1401,0,1,1,20251113,1
11,0,1,1,20251114,1
1501,0,1,1,20251114,1
1601,0,1,2,20251115,1
21,0,1,2,20251115,1
1701,0,1,3,20251116,1
31,0,1,3,20251116,1
11,0,1,1,20251117,1
1101,0,1,1,20251117,1
11,0,1,1,20251118,1
1201,0,1,1,20251118,1
11,0,1,1,20251119,1
1301,0,1,1,20251119,1
11,0,1,1,20251120,1
1401,0,1,1,20251120,1
11,0,1,1,20251121,1
1501,0,1,1,20251121,1
1601,0,1,2,20251122,1
21,0,1,2,20251122,1
1701,0,1,3,20251123,1
31,0,1,3,20251123,1
11,0,1,1,20251124,1
1101,0,1,1,20251124,1
11,0,1,1,20251125,1
1201,0,1,1,20251125,1
11,0,1,1,20251126,1
1301,0,1,1,20251126,1
11,0,1,1,20251127,1
1401,0,1,1,20251127,1
11,0,1,1,20251128,1
1501,0,1,1,20251128,1
1601,0,1,2,20251129,1
21,0,1,2,20251129,1
1701,0,1,3,20251130,1
31,0,1,3,20251130,1
1111,1,1,3,20251201,1
31,1,1,3,20251201,1
11,0,1,1,20251202,1
1201,0,1,1,20251202,1
11,0,1,1,20251203,1
1301,0,1,1,20251203,1
11,0,1,1,20251204,1
1401,0,1,1,20251204,1
11,0,1,1,20251205,1
1501,0,1,1,20251205,1
1601,0,1,2,20251206,1
21,0,1,2,20251206,1
1701,0,1,3,20251207,1
31,0,1,3,20251207,1
1111,1,1,3,20251208,1
31,1,1,3,20251208,1
11,0,1,1,20251209,1
1201,0,1,1,20251209,1
11,0,1,1,20251210,1
1301,0,1,1,20251210,1
11,0,1,1,20251211,1
1401,0,1,1,20251211,1
11,0,1,1,20251212,1
1501,0,1,1,20251212,1
1601,0,1,2,20251213,1
21,0,1,2,20251213,1
1701,0,1,3,20251214,1
31,0,1,3,20251214,1
11,0,1,1,20251215,1
1101,0,1,1,20251215,1
11,0,1,1,20251216,1
1201,0,1,1,20251216,1
11,0,1,1,20251217,1
1301,0,1,1,20251217,1
11,0,1,1,20251218,1
1401,0,1,1,20251218,1
11,0,1,1,20251219,1
1501,0,1,1,20251219,1
1602,0,2,2,20251220,1
22,0,2,2,20251220,1
1702,0,2,3,20251221,1
32,0,2,3,20251221,1
1102,0,2,1,20251222,1
12,0,2,1,20251222,1
12,0,2,1,20251223,1
1202,0,2,1,20251223,1
12,0,2,1,20251224,1
1302,0,2,1,20251224,1
1412,1,2,3,20251225,1
32,1,2,3,20251225,1
12,0,2,1,20251226,1
1502,0,2,1,20251226,1
1602,0,2,2,20251227,1
22,0,2,2,20251227,1
1702,0,2,3,20251228,1
32,0,2,3,20251228,1
1102,0,2,1,20251229,1
12,0,2,1,20251229,1
12,0,2,1,20251230,1
1202,0,2,1,20251230,1
12,0,2,1,20251231,1
1302,0,2,1,20251231,1
