layover_id,agency_id,service_id,start_time,end_time,location_id,block_id,start_shift_id,end_shift_id
0,42,11,07:00:00,07:15:00,070470,1548-11,1548,1548
1,42,11,08:00:00,08:15:00,070470,1548-11,1548,1548
10,42,11,17:00:00,17:15:00,070470,1548-11,1585,1585
100,42,11,11:20:00,11:25:00,070470,1527-11,1527,1540
1000,42,11,21:47:00,21:52:00,070327,1520-11,1699,1699
10000,42,23,23:20:00,23:25:00,060357,4531-23,4591,4591
10001,42,23,07:19:00,07:40:00,070313,4533-23,4533,4533
10002,42,23,08:15:00,08:20:00,060303,4533-23,4533,4533
10003,42,23,08:55:00,09:00:00,070313,4533-23,4533,4533
10004,42,23,09:35:00,09:40:00,060303,4533-23,4533,4533
10005,42,23,13:15:00,13:20:00,060303,4533-23,4533,4533
10006,42,23,13:55:00,14:00:00,070313,4533-23,4533,4533
10007,42,23,14:35:00,14:40:00,060303,4533-23,4533,4533
10008,42,23,15:15:00,15:20:00,070313,4533-23,4533,4533
10009,42,23,15:55:00,16:00:00,060303,4533-23,4533,4533
1001,42,11,08:23:00,08:35:00,071657,1510-11,1510,1631
10010,42,23,17:55:00,18:00:00,060303,4533-23,4533,4533
10011,42,23,08:10:00,08:15:00,111023,4535-23,4536,4536
10012,42,23,08:55:00,09:00:00,060155,4535-23,4536,4536
10013,42,23,09:40:00,09:45:00,111023,4535-23,4536,4536
10014,42,23,10:25:00,10:30:00,060155,4535-23,4536,4536
10015,42,23,11:10:00,11:15:00,111023,4535-23,4536,4532
10016,42,23,11:55:00,12:00:00,060155,4535-23,4532,4532
10017,42,23,12:40:00,12:45:00,111023,4535-23,4532,4532
10018,42,23,13:25:00,13:30:00,060155,4535-23,4532,4532
10019,42,23,14:10:00,14:15:00,111023,4535-23,4532,4532
1002,42,11,09:33:00,09:50:00,172600,1510-11,1510,1631
10020,42,23,14:55:00,15:00:00,060155,4535-23,4532,4532
10021,42,23,15:40:00,15:45:00,111023,4535-23,4532,4539
10022,42,23,16:25:00,16:30:00,060155,4535-23,4539,4539
10023,42,23,17:10:00,17:15:00,111023,4535-23,4539,4539
10024,42,23,17:55:00,18:00:00,060155,4535-23,4539,4539
10025,42,23,18:40:00,18:45:00,111023,4535-23,4539,4539
10026,42,23,19:25:00,19:30:00,060155,4535-23,4539,4539
10027,42,23,08:15:00,08:20:00,060364,4542-23,4541,4541
10028,42,23,08:55:00,09:00:00,110745,4542-23,4541,4541
10029,42,23,09:35:00,09:50:00,060364,4542-23,4541,4541
1003,42,11,10:48:00,11:05:00,071657,1510-11,1631,1631
10030,42,23,10:25:00,10:30:00,110745,4542-23,4541,4541
10031,42,23,11:05:00,11:20:00,060364,4542-23,4541,4541
10032,42,23,11:55:00,12:00:00,110745,4542-23,4541,4541
10033,42,23,12:06:00,14:09:00,5000,4542-23,4541,4541
10034,42,23,14:50:00,15:05:00,060364,4542-23,4541,4541
10035,42,23,15:48:00,16:05:00,111023,4542-23,4541,4541
10036,42,23,16:35:00,16:45:00,110205,4542-23,4541,4562
