line_id,line_short_name,line_long_name,route_id,agency_id,route_origin,route_destination,route_short_name,route_long_name,route_desc,route_remarks,route_type,contract,path_type,circular,school,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
2002,2002,A-dos-Cãos - Loures (Centro Saúde),2002_0,42,A-dos-Cãos,Loures (Centro Saúde),2002,A-dos-Cãos - Loures (Centro Saúde),,,3,"",1,0,,,C61D23,FFFFFF,,,
2003,2003,Guerreiros - Guerreiros,2003_0,42,Guerreiros,Guerreiros,2003,Guerreiros - Guerreiros ,,,3,"",1,1,,,C61D23,FFFFFF,,,
2003,2003,Guerreiros - Guerreiros,2003_1,42,Guerreiros,Guerreiros,2003,Guerreiros - Guerreiros via Bolores,,,3,"",3,1,,,C61D23,FFFFFF,,,
2004,2004,Bairro de Santa Maria - Loures (Centro Saúde),2004_0,42,Bairro de Santa Maria,Loures (C.Saúde),2004,Bairro de Santa Maria - Loures (Centro Saúde),,,3,"",1,0,,,3D85C6,FFFFFF,,,
2006,2006,Bucelas | Circular via Vila Nova,2006_0,42,Bemposta,Bucelas,2006,Bucelas | Circular via Vila Nova,,,3,"",1,1,,,3D85C6,FFFFFF,,,
2008,2008,Bucelas - Mato da Cruz | Circular via Solcasa,2008_0,42,Bucelas,Bucelas,2008,Bucelas - Mato da Cruz | Circular,,,3,"",1,1,,,3D85C6,FFFFFF,,,
2011,2011,Cabeço de Montachique - Loures (C Saúde) via Bairro Novo de Palhais e Murteira,2011_0,42,Cabeço de Montachique,Loures (C.Saúde),2011,Cabeço de Montachique - Loures (Centro Saúde) via Murteira,,,3,"",1,0,,,C61D23,FFFFFF,,,
2011,2011,Cabeço de Montachique - Loures (C Saúde) via Bairro Novo de Palhais e Murteira,2011_1,42,Tocadelos,Loures (C.Saúde),2011,Tocadelos - Loures (Centro Saúde) via Murteira,,,3,"",3,0,,,C61D23,FFFFFF,,,
2014,2014,Frielas - Torres da Bela Vista via Santo António dos Cavaleiros,2014_0,42,,Torres da Bela Vista,2014,Frielas - Torres da Bela Vista via Santo António dos Cavaleiros,,,3,"",1,0,,,C61D23,FFFFFF,,,
2016,2016,Guerreiros - Hospital Beatriz Ângelo,2016_0,42,Guerreiros,Loures (Hospital),2016,Guerreiros - Hospital Beatriz Ângelo,,,3,"",1,0,,,3D85C6,FFFFFF,,,
2016,2016,Guerreiros - Hospital Beatriz Ângelo,2016_1,42,Torre dos Trotes,Loures (Hospital),2016,Torre dos Trotes - Hospital Beatriz Ângelo,,,3,"",3,0,,,3D85C6,FFFFFF,,,
2017,2017,Guerreiros - Loures (Centro Saúde),2017_0,42,Guerreiros,Loures (C.Saúde),2017,Guerreiros - Loures Loures (Centro Saúde),,,3,"",1,0,,,C61D23,FFFFFF,,,
2020,2020,Santo António dos Cavaleiros | Circular via Paradela,2020_0,42,,Santo António dos Cavaleiros,2020,Santo António dos Cavaleiros | Circular via Paradela,,,3,"",1,1,,,3D85C6,FFFFFF,,,
2021,2021,Santo Antão do Tojal | Circular via Loures,2021_0,42,,Santo Antão do Tojal,2021,Santo Antão do Tojal - Loures | Circular Sete Casas,,,3,"",1,1,,,C61D23,FFFFFF,,,
