stop_id,stop_id_stepp,stop_code,stop_name,stop_desc,stop_remarks,stop_lat,stop_lon,zone_id,zone_shift,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,entrance_restriction,exit_restriction,slot,signalling,shelter,bench,network_map,schedule,real_time_information,tariff,preservation_state,equipment,observations,region,municipality,municipality_fare_1,municipality_fare_2
020005,20005,"020005","Costa da Caparica (Terminal) P2","","",38.644755,-9.241125,,,,,,,,,,,,,,,,,,,,,,,PT170,1503,,
030155,30155,"030155","Amadora Este (Metro) P2","","",38.758258,-9.218777,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030253,30253,"030253","Casal da Mira (Centro Comercial) P4","","",38.776818,-9.217575,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030273,30273,"030273","Casal da Mira (Centro Comercial) P3","","",38.776778,-9.218033,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030283,30283,"030283","R Fontainhas (April)","","",38.751196,-9.219046,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030284,30284,"030284","R Fontainhas (April)","","",38.75129,-9.218986,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030285,30285,"030285","R Das Fontainhas (ED Areeiro)","","",38.750832,-9.217038,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030286,30286,"030286","R Das Fontainhas (ED Areeiro)","","",38.750861,-9.216702,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030287,30287,"030287","R Francisco Simões Carneiro 4","","",38.751443,-9.215976,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030288,30288,"030288","R F Simoes Carneiro (Edif Areeiro)","","",38.751384,-9.216161,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030397,30397,"030397","R Damião Góis 10","","",38.762124,-9.204644,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030398,30398,"030398","R Damião Góis 10","","",38.762164,-9.204475,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030399,30399,"030399","Alfornelos (Metro)","","",38.760137,-9.20458,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030402,30402,"030402","R Adriano Correia 2","","",38.759289,-9.205846,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030403,30403,"030403","Rotunda Qta Lilazes","","",38.759529,-9.209081,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030405,30405,"030405","R Indústrias (Fte Iefp)","","",38.751161,-9.21993,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030406,30406,"030406","R Indústrias (Fte Iefp)","","",38.750937,-9.219961,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030408,30408,"030408","Reboleira (Metro) P1","","",38.751919,-9.224524,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030409,30409,"030409","Prç Teófilo Braga (Alfornelos Metro)","","",38.760225,-9.204037,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030589,30589,"030589","EN 250 (X) Casal Cambra","","",38.796178,-9.241183,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030591,30591,"030591","EN 250 (Qta Rosa Bacará)","","",38.788231,-9.243481,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030592,30592,"030592","EN 250 (Qta Rosa Bacará)","","",38.78838,-9.243574,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030593,30593,"030593","EN 250 (X) Estrada Águas Livres","","",38.782688,-9.245411,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030594,30594,"030594","EN 250 (X) Estrada Águas Livres","","",38.782494,-9.245492,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030615,30615,"030615","Estr Águas Livres (X) A-da-beja","","",38.792513,-9.244339,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030805,30805,"030805","R da Liberdade 14","","",38.776954,-9.215262,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030807,30807,"030807","R Liberdade 24","","",38.774,-9.213536,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030809,30809,"030809","R Liberdade 1","","",38.772612,-9.21209,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030811,30811,"030811","R Liberdade (Posto Combustível)","","",38.767874,-9.204775,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030815,30815,"030815","Av Lima Freitas (Rotunda)","","",38.771963,-9.212506,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030817,30817,"030817","Av Lima Freitas (Rotunda)","","",38.772143,-9.212267,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030872,30872,"030872","Reboleira (Estação) P6","","",38.749705,-9.220372,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
030882,30882,"030882","R Franc Simões Carn (Supermercado)","","",38.753706,-9.217032,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
035500,35500,"035500","Reboleira (Metro) P3","","",38.751608,-9.223776,,,,,,,,,,,,,,,,,,,,,,,PT170,1115,,
060005,60005,"060005","LISBOA (PÇ JOSÉ QUEIRÓS)","","",38.773016,-9.105138,,,,,,,,,,,,,,,,,,,,,,,PT170,1106,,
060008,60008,"060008","Campo Grande (Desembarque Norte)","","",38.759833,-9.159889,,,,,,,,,,,,,,,,,,,,,,,PT170,1106,,
060062,60062,"060062","Pontinha (Metro) P9","","",38.762863,-9.197076,,,,,,,,,,,,,,,,,,,,,,,PT170,1106,,
060063,60063,"060063","Estação Pontinha","","",38.760313,-9.193901,,,,,,,,,,,,,,,,,,,,,,,PT170,1106,,
060065,60065,"060065","Carnide (Metro)","","",38.759502,-9.192653,,,,,,,,,,,,,,,,,,,,,,,PT170,1106,,
060069,60069,"060069","Estação Pontinha","","",38.760645,-9.194608,,,,,,,,,,,,,,,,,,,,,,,PT170,1106,,
060077,60077,"060077","Pontinha (Metro) P6","","",38.762142,-9.1972,,,,,,,,,,,,,,,,,,,,,,,PT170,1106,,
060153,60153,"060153","RALIS","","",38.781576,-9.120633,,,,,,,,,,,,,,,,,,,,,,,PT170,1106,,
060155,60155,"060155","Campo Grande (Metro) P7","","",38.75942,-9.160337,,,,,,,,,,,,,,,,,,,,,,,PT170,1106,,
060157,60157,"060157","Hosp. Pulido Valente","","",38.766345,-9.157478,,,,,,,,,,,,,,,,,,,,,,,PT170,1106,,
